"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,,,,,,,ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,0,10,10,15,11,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1249,1249,ABDM/R&D01/C OV/ISOPCR,InnoDetectTM CL COVID-19 Iso-PCR kit,innodetecttm cl  iso ,,AB Diagnopath Manufacturing Pvt. Ltd.,ab diagnopath manufacturing pvt ,,,,,,,,,,,,,,,,,,,,,IND0400,,,,,IND0400,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1250,1250,ABDM/R&D01/C OVRTPCR,InnoDetect Covid-19 RT-PCR Kit,innodetect  ,,"AB Diagnopath Mfg. Pvt. Ltd, Delhi, India",ab diagnopath mfg pvt  delhi india,,,,,,,,,,,,,,,,,,,,,IND0401,,,,,IND0401,,,,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,484,484,"41FK11, 41FK21",Panbio COVID-19 Ag Rapid Test Device (NASAL),panbio ag rapid device nasal,25T/kit,"Abbott Rapid DiagnosticsJena GmbH., Orlaweg 1, 07743 Jena, Germany",abbott rapid diagnostics jena gmbh,,,,,"Health Canada/Interim Order TGA
 WHO EUL",yes,#N/A,FALSE,TRUE,TRUE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,PKS0026,IND0126,,ZAF0183,,PKS0026,IND0126,,ZAF0183,,Yes
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,485,"485, 762","41FK10, 41FK20",Panbio COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL),"panbio ag rapid device nasopharyngeal, panbio agrapid device nasopharyngeal",25T/kit,"Abbott Rapid DiagnosticsJena GmbH., Orlaweg 1, 07743 Jena, Germany","abbott rapid diagnostics jena gmbh, abbott rapid diagnosticsjena gmbh orlaweg 1 07743 jena germany",,,,,"Health Canada/Interim Order TGA
 WHO EUL",,#N/A,FALSE,TRUE,TRUE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0125,,,,PKS0022,IND0125,,ZAF0174,PHL0057,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,486,"486, 1225, 1117","41ADF039A, 41ADF036A, 41ADF037A",Panbio COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL),"panbio ag rapid device nasopharyngeal, panbio antigen rapid nasopharyngeal",25T/Kit,"Abbott Rapid Diagnostics Division, Chicago","abbott laboratories, abbott rapid diagnostics division chicago",USA,,USA,Test that meet WHO TPP according to external evaluation,,,#N/A,,,,,,,https://extranet.who.int/pqweb/sites/default/files/documents/EUL_0564-032-00_PanbioCOVID-19_AgRapidTestDevice_PR_v_2.0.pdf,https://extranet.who.int/pqweb/sites/default/files/documents/EUL_0564-032-00_PanbioCOVID-19_AgRapidTestDevice_PR_v_2.0.pdf,#N/A,#N/A,#N/A,,,,,,,,"IND0291, IND0011",,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,330,330,190-000,ID NOW COVID-19 Test Kit,id now ,96T/kit,Abbott Diagnostics Scarborough Inc,abbott diagnostics scarborough ,#N/A,#N/A,,,"US FDA EUA
 Health Canada/Interim Order PMDA
 TGA",,,TRUE,TRUE,FALSE,TRUE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,71,71,,BinaxNOW COVID-19 Ag 2 Card,binaxnow  ag 2 card,,"Abbott Diagnostics Scarborough, Inc",abbott diagnostics scarborough ,USA,USA,USA,Test approved by one or more SRA,,,#N/A,,,,,,https://www.fda.gov/media/147264/download,https://www.fda.gov/media/147264/download,https://www.fda.gov/media/147264/download,#N/A,,#N/A,,,,,,,,,,,,
,,Lateral flow assay (strip or cassette),1150,1150,195-005; 195-400,BinaxNOW COVID-19 Ag 2 Card,binaxnow  ag 2 card,,"Abbott Diagnostics Scarborough, Inc",abbott diagnostics scarborough ,,,,,,,,,,,,,,,https://www.globalpointofcare.abbott/en/product-details/navica-binaxnow-covid-19-us.html,,,,,,IND0119,,,,,IND0119,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,73,73,,BinaxNOW COVID-19 Ag Card 2 Home test,binaxnow  ag card 2 home ,2T/Kit,"Abbott Diagnostics Scarborough, Inc",abbott diagnostics scarborough ,USA,USA,USA,Test approved by one or more SRA,,,#N/A,,,,,,https://www.fda.gov/media/147260/download,https://www.fda.gov/media/147260/download,https://www.fda.gov/media/147260/download,#N/A,$12.00,#N/A,$12.00,,IND0121,,,,,IND0121,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,74,74,,BinaxNOW COVID-19 Ag Card Home Test,binaxnow  ag card home ,,"Abbott Diagnostics Scarborough, Inc",abbott diagnostics scarborough ,USA,USA,USA,Test approved by one or more SRA,,,#N/A,,,,,,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,#N/A,,#N/A,,,IND0122,,,,,IND0122,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,75,75,,BinaxNOW COVID-19 Antigen Self Test,binaxnow  antigen self ,,"Abbott Diagnostics Scarborough, Inc",abbott diagnostics scarborough ,USA,#N/A,USA,Test approved by one or more SRA,,,#N/A,,,,,,#N/A,https://www.fda.gov/media/147255/download,https://www.fda.gov/media/147255/download,#N/A,#N/A,#N/A,,,IND0123,,,,,IND0123,,,,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,70,70,195-005,BinaxNOW COVID-19 Ag 2 Card,binaxnow  ag 2 card,40T/kit,"Abbott Diagnostics Scarborough, Inc.",abbott diagnostics scarborough ,USA,USA,USA,Test approved by one or more SRA,US FDA EUA,,#N/A,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/147264/download,https://www.fda.gov/media/147264/download,https://www.fda.gov/media/147264/download,#N/A,,#N/A,,,,,,,,,,,,Yes
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,72,72,195-000,BinaxNOW COVID-19 Ag Card,binaxnow  ag card,40T/kit,"Abbott Diagnostics Scarborough, Inc.",abbott diagnostics scarborough ,USA,USA,USA,Test that meet WHO TPP according to external evaluation,US FDA EUA,,#N/A,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/141570/download,https://www.fda.gov/media/141570/download,https://www.fda.gov/media/141570/download,#N/A,$7.00,#N/A,$7.00,,IND0120,,,,,IND0120,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,951,951,,ID NOW™ COVID-19 and accessories,id now  and accessories,,"Abbott Diagnostics Scarborough, Inc.",abbott diagnostics scarborough ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0103,,,,,ZAF0103,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,430,430,,NAVICA Mobile App and BINAXNOW COVID-19 Ag Card,navica mobile app and binaxnow  ag card,,"Abbott Diagnostics Scarborough, Inc.",abbott diagnostics scarborough ,USA,USA,USA,Test that meet WHO TPP according to external evaluation,,,#N/A,,,,,,https://www.fda.gov/media/141570/download,https://www.fda.gov/media/141570/download,https://www.fda.gov/media/141570/download,#N/A,,#N/A,,,IND0124,,,,,IND0124,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,767,767,,Alinityi SARS-CoV-2 IgG II Quant Kit,alinityi igg ii quant ,,"Abbott Ireland Diagnostics Division Finisklin Business Park, Sligo, Ireland",abbott ireland diagnostics division finisklin business park sligo ireland,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0017,,,ZAF0051,,PKS0017,,,ZAF0051,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,768,768,,Alinityi SARS-CoV-2 IgG Kit,alinityi igg ,,"Abbott Ireland Diagnostics Division Finisklin Business Park, Sligo, Ireland",abbott ireland diagnostics division finisklin business park sligo ireland,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0012,,,ZAF0010,,PKS0012,,,ZAF0010,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,769,769,,Alinityi SARS-CoV-2 IgM Kit,alinityi igm ,,"Abbott Ireland Diagnostics Division Finisklin Business Park, Sligo, Ireland",abbott ireland diagnostics division finisklin business park sligo ireland,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0013,,,ZAF0049,,PKS0013,,,ZAF0049,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,770,770,,ARCHITECT SARS-CoV-2 IgG II Quant Kit,architect igg ii quant ,,"Abbott Ireland Diagnostics Division Finisklin Business Park, Sligo, Ireland",abbott ireland diagnostics division finisklin business park sligo ireland,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0016,,,ZAF0045,PHL0129,PKS0016,,,ZAF0045,PHL0129,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,771,771,,ARCHITECT SARS-CoV-2 IgG Kit,architect igg ,,"Abbott Ireland Diagnostics Division Finisklin Business Park, Sligo, Ireland",abbott ireland diagnostics division finisklin business park sligo ireland,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0014,,,ZAF0008,PHL0126,PKS0014,,,ZAF0008,PHL0126,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,772,772,,ARCHITECT SARS-CoV-2 IgM Kit,architect igm ,,"Abbott Ireland Diagnostics Division Finisklin Business Park, Sligo, Ireland",abbott ireland diagnostics division finisklin business park sligo ireland,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0015,,,,,PKS0015,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,488,"488, 487, 1118, 1232","41ADF315A, 41ADF316A, 41ADF317A",Panbio COVID-19 Ag Rapid Test Device (NASAL),"panbio antigen self, panbio ag rapid device nasal, panbio antigen rapid device home nasal",,"Abbott Rapid Diagnostics Division, Chicago","abbott laboratories, abbott laboratories, abbott rapid diagnostics division chicago alere medical pvt","USA, USA",USA,"USA, USA","Test that meet WHO TPP according to external evaluation, Test that meet WHO TPP according to external evaluation",,,#N/A,,,,,,https://extranet.who.int/pqweb/sites/default/files/documents/EUL_0564-032-00_PanbioCOVID-19_AgRapidTestDevice_PR_v_2.0.pdf,"https://dam.abbott.com/en-gb/panbio/120007883-v1-Panbio-COVID-19-Ag-Nasal-AsymptomaticSe.pdf, https://extranet.who.int/pqweb/sites/default/files/documents/EUL_0564-032-00_PanbioCOVID-19_AgRapidTestDevice_PR_v_2.0.pdf","https://dam.abbott.com/en-gb/panbio/120007883-v1-Panbio-COVID-19-Ag-Nasal-AsymptomaticSe.pdf, https://extranet.who.int/pqweb/sites/default/files/documents/EUL_0564-032-00_PanbioCOVID-19_AgRapidTestDevice_PR_v_2.0.pdf, A. IFU- Hindi: https://www.icmr.gov.in/pdf/covid/kits/Panbio_Ag_Self_Test_IFU_Hindi.pdf; English: https://www.icmr.gov.in/pdf/covid/kits/Panbio_Ag_Self_Test_IFU_English.pdf
 B. Link for demonstration video -Link for Demonstration Video",#N/A,#N/A,#N/A,,,,,,,,"IND0012, IND0307",,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,17,17,09N77-090,Abbott RealTime SARS-CoV-2 RT-PCR Kit,abbott realtime ,96T/kit,Abbott Molecular,abbott molecular,#N/A,#N/A,,#N/A,"Health Canada/Interim Order TGA
 WHO EUL",,,FALSE,TRUE,TRUE,FALSE,TRUE,#N/A,#N/A,,$960.00,#N/A,$10.00,$10.00,PKS0002,,,,,PKS0002,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,18,18,09N77-095,Abbott RealTime SARS-CoV-2 RT-PCR Kit,abbott realtime ,96T/kit,Abbott Molecular,abbott molecular,#N/A,#N/A,,#N/A,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,$960.00,#N/A,$10.00,$10.00,,IND0127,,,,,IND0127,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,32,32,09N78-090,Alinity m SARS-CoV-2 AMP Kit,alinity   amp ,192T/kit,Abbott Molecular,abbott molecular,#N/A,#N/A,,#N/A,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,"$1,209.60",#N/A,$12.60,$12.60,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,33,33,09N78-095,Alinity m SARS-CoV-2 AMP Kit,alinity   amp ,96T/kit,Abbott Molecular,abbott molecular,#N/A,#N/A,,#N/A,US FDA EUA PMDA TGA,,,TRUE,FALSE,FALSE,TRUE,TRUE,#N/A,#N/A,,"$1,209.60",#N/A,$12.60,$12.60,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,947,947,,Alinity m SARS-CoV-2 AMP Kit ,alinity   amp  ,,Abbott Molecular,abbott molecular,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0097,,,,,ZAF0097,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,916,916,,Abbott RealTime SARS-CoV-2  Assay          ,abbott realtime  assay    ,,Abbott Molecular Inc,abbott molecular ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0052,,,,,ZAF0052,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,975,"975, 980",,Alinity m Resp-4-Plex,alinity resp 4 plex,,Abbott Molecular INC,abbott molecular ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0136,,,,,"ZAF0136, ZAF0141",,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,835,"835, 794",,Panbio COVID-19 Ag Rapid Test Device (NASAL),"panbio ag rapid device, panbio ag rapid device nasal",,"Abbott Diagnostics Korea lnc-65, Borahagal-ro, Giheung-gu, Yongin-si, Gyenoggi-do 17099, Republic of Korea","abbott diagnostics korea, abbott diagnostics korea",,,,,,,#N/A,,,,,,,,,,,,,,,IDN0100,,,,,"IDN0100, IDN0096",,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1040,"1040, 1041",,Panbio COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL),panbiotm ag rapid device nasopharyngeal,,"Abbott Diagnostics Korea lnc-65, Borahagal-ro, Giheung-gu, Yongin-si, Gyenoggi-do 17099, Republic of Korea",abbott diagnostics korea lnc65 borahagalro giheunggu yonginsi gyenoggido 17099 republic of korea,,,,,,,#N/A,,,,,,,,,,,,,,,,,PHL0054,,,,,"PHL0054, PHL0055",
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,763,763,,Panbio COVID-19 IgG/IgM Rapid TestDevice (FingerstickWhole Blood/Venouswholeblood/serum/plasma)[ICO-T402],panbio  iggigm rapid device fingerstickwhole bloodvenouswholebloodserumplasmaico t402,,"Abbott Rapid Diagnostics Jena GmbH Orlaweg 1, 07743 Jena, Germany",abbott rapid diagnostics jena gmbh orlaweg 1 07743 jena germany,#N/A,#N/A,,,,,,,,,,,,,,,,,,PKS0025,,,,,PKS0025,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1251,1251,47532-020720,TaqMan 2019-nCoV Control Kit v1,taqman 2019 control  v1,,"ABI (Applied bio-systems), USA",abi applied biosystems usa,,,,,,,,,,,,,,,,,,,,,IND0402,,,,,IND0402,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,843,843,,PANBIO ™ Covid-19 IgG/IgM Rapid Test Device (Fingerstick Whole Blood/Venous Whole Blood/Serum/Plasma),panbio iggigm rapid  device fingerstick whole bloodvenous whole bloodserumplasma,,"ABON BIOPHARM (HANGZHOU) CO., LTD.",abon biopharm hangzhou ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0111,,,,,IDN0111,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,544,544,,RabWiz Ultra Sensitive COIV-19 Viral Antigen Test Kit (ELISA),rabwiz ultra sensitive coiv 19 viral antigen elisa,,Abwiz Bio,abwiz bio,USA,#N/A,USA,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,580,580,,Resolute 2.0 SARS CoV-2 Detection Kit,resolute 20 detection ,see IFU,Accelerate Technologies Pte Ltd (DxD Hub),accelerate technologies   dxd hub,#N/A,#N/A,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1252,1252,200304 200402,A*STAR FORTITUDE KIT 2.0,astar fortitude  20,,"Accelerate Technologies Pte.ltd (DxD Hub), Singapore",accelerate technologies  dxd hub singapore,,,,,,,,,,,,,,,,,,,,,IND0403,,,,,IND0403,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,62,62,,Atomo COVID-19 Antigen Test,atomo  antigen ,,"Access Bio, Inc.",access bio ,USA,#N/A,USA,Test approved by one or more SRA,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,IND0128,,,,,IND0128,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,108,108,,CareStart COVID-19 Antigen,carestart  antigen,,"Access Bio, Inc.",access bio ,USA,#N/A,USA,Test approved by one or more SRA,,,#N/A,,,,,,#N/A,https://www.fda.gov/media/142919/download,https://www.fda.gov/media/142919/download,#N/A,#N/A,#N/A,,,IND0129,,,,,IND0129,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,109,109,,CareStart COVID-19 Antigen Home Test,carestart  antigen home ,,"Access Bio, Inc.",access bio ,USA,#N/A,USA,Test in development or commercialized,,,#N/A,,,,,,#N/A,https://www.fda.gov/media/151248/download,https://www.fda.gov/media/151248/download,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,905,905,,"ACCU-TELL®
COVID-19 IgG/IgM Cassette
(Whole
Blood/Serum/Plasma)
",accu tell iggigm cassettewholebloodserumplasma,,"AccuBiotech Co., Ltd.",accubiotech ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0034,,,,,ZAF0034,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1253,1253,CRV1D001,Accurex SARS COVID-19 RT-PCR Assay,accurex assay,,"Accurex Biomedical Pvt Ltd, Palghar, Maharashtra",accurex biomedical pvt  palghar maharashtra,,,,,,,,,,,,,,,,,,,,,IND0404,,,,,IND0404,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1254,1254,DCRPT001,Novel Coronavirus (2019-nCoV) Nucleic Acid Detection Kit (Fluorescence PCR Method),novel coronavirus 2019 nucleic acid detection  fluorescence method,,"Accurex Biomedical Pvt Ltd, Palghar, Maharashtra",accurex biomedical pvt  palghar maharashtra,,,,,,,,,,,,,,,,,,,,,IND0405,,,,,IND0405,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1255,1255,ACH/CVS/19102 021/001,GenePath Dx CoviSpeedy,genepath dx covispeedy,,Achira labs Pvt Ltd,achira labs pvt ,,,,,,,,,,,,,,,,,,,,,IND0406,,,,,IND0406,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1256,1256,ACH/CQK/10062 1/004,GENEPATH DX CoviQuick v2.0,genepath dx coviquick v20,,ACHIRA LABS PVT. LTD,achira labs pvt ,,,,,,,,,,,,,,,,,,,,,IND0407,,,,,IND0407,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1257,1257,20210809A,Gene path Dx CoVi Delta RT-qPCR Kit v ME-2,gene path dx covi delta qpcr  me 2,,"Achira Labs Pvt. Ltd., Bengaluru, Karnataka",achira labs pvt  bengaluru karnataka,,,,,,,,,,,,,,,,,,,,,IND0408,,,,,IND0408,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,282,282,,Flowflex SARS-CoV-2 Antigen Rapid Test,flowflex antigen rapid ,,"Acon Biotech (Hangzhou) Co., Ltd",acon biotech hangzhou ,China,#N/A,China,Test approved by one or more regulatory bodies,,,CE-IVD,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,IDN0020,ZAF0204,PHL0102,,,IDN0020,ZAF0204,PHL0102,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,610,610,,SARS-CoV-2 Antigen FIA,  antigen fia,,"Acon Biotech (Hangzhou) Co., Ltd",acon biotech hangzhou ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://www.alfresa-pharma.co.jp/product/attach/PRODUCT_ID/681/FILE_ID/TENPU_BUNSHO/681_TENPU_BUNSHO,https://www.alfresa-pharma.co.jp/product/attach/PRODUCT_ID/681/FILE_ID/TENPU_BUNSHO/681_TENPU_BUNSHO,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1094,1094,,ACON SARS-COV-2 IgG/IgM RAPID TEST,acon iggigm rapid ,,"ACON Biotech (Hangzhou) Co., Ltd–No.210 Zhenzhong Road, West Lake District, Hangzhou, P.R. China",acon biotech hangzhou no210 zhenzhong road west lake district hangzhou pr china,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0152,,,,,PHL0152,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,805,805,,PROMOTOR ® SARS-CoV-2 RT-PCR Test Kit,promotor   ,,"ACON BIOTECH (HANGZHOU) CO., LTD.",acon biotech hangzhou ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,IDN0015,,,,,IDN0015,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1038,1038,,FlowFlex SARS-CoV-2 Antigen Rapid Test,flowflex antigen rapid ,,"ACON Laboratories Inc– 5850 Oberlin Drive, #340, San Diego, CA 92121, U.S.A",acon laboratories  5850 oberlin drive 340 san diego ca 92121 usa,China,#N/A,,,,,CE-IVD,,,,,,,,,,,,,,,,,PHL0081,,,,,PHL0081,
x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,21,21,L031-11711,"ACON SARS-CoV-2 IgG/IgM
Rapid Test",acon iggigmrapid ,see IFU,"ACON Laboratories, Inc",acon laboratories ,#N/A,#N/A,,#N/A,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,,,#N/A,#N/A,#N/A,,,,IDN0023,,,,,IDN0023,,,Yes
