"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,,,,,,,,,,,,,,,,
Source: GF,Source: Path,Type of Test,Manufacturer Product Catalogue number,"Product Name
 (IVD product)",product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Total Criteria Eligibility ,Comments ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,"Reference price per pack EXW, USD","Reference price per test EXW, USD"
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,13278D,"MassARRAY® SARS-CoV-2
 Panel",massarray panel,3840T/kit,"Agena Bioscience, Inc.",agena bioscience ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,13281D,"MassARRAY® SARS-CoV-2
 Panel",massarray panel,768T/kit,"Agena Bioscience, Inc.",agena bioscience ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,821025,RealStar® SARS-CoV-2 RT- PCR Kit U.S.,realstar us,384T/kit,Altona Diagnostics GmbH,altona diagnostics gmbh,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,RESOLUTE 2.0,resolute 20,,AMT Pte Ltd (Singapore),amt   singapore,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,64-C0304,BioCode® SARS-CoV-2 Assay,biocode assay,384T/kit,Applied BioCode Inc,applied biocode ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DX-1001-001-000,Linea™ COVID-19 Real-Time PCR Assay Kit assay kit,linea  real time assay  assay ,100T/kit,Applied DNA Sciences,applied dna sciences,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DX-1001-002-000,Linea™ COVID-19 Real-Time PCR Assay Kit assay kit,linea  real time assay  assay ,500T/kit,Applied DNA Sciences,applied dna sciences,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DX-1001-003-000,Linea™ COVID-19 Real-Time PCR Assay Kit assay kit,linea  real time assay  assay ,1000T/kit,Applied DNA Sciences,applied dna sciences,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Identity Pack SARS-CoV-2,identity pack  ,,"Arkray Factory Co., Ltd.",arkray factory ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,iAMP-COVID19-100,iAMP® COVID-19 Detection Kit,iamp  detection ,100T/kit,"Atila BioSystems, Inc.",atila biosystems ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,445003-01,BD SARS-CoV-2 Reagents,bd reagents,24T/kit,"Becton, Dickinson and Company",becton dickinsoncompany,"US FDA EUA
 Health Canada/Interim Order",,TRUE,TRUE,FALSE,FALSE,FALSE,,$408.00,$17.00
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MFG030011,Real-Time Fluorescent RT- PCR Kit for Detecting SARS- 2019-nCoV,real time fluorescent detecting 2019 ncov,50T/kit,BGI Europe A/S,bgi europe as,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Real-Time Fluorescent RT- PCR Kit for Detecting SARS- Cov-2 (2 gene),real time fluorescent detecting  2 gene,,BGI Europe A/S (distributed by BGI Health (AU) Company Pty Ltd),bgi europe as distributed bgi health au company pty ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Real-Time Fluorescent RT- PCR Kit for Detecting SARS- 2019-nCoV,real time fluorescent detecting 2019 ncov,50T/kit,BGI Genomics Co. Ltd,bgi genomics ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,CT8233-48T,Multiple Real-Time PCR Kit for Detection of 2019-nCoV,multiple real time  detection 2019 ncov,48T/kit,"Beijing Applied Biological Technologies Co. Ltd., (XABT)",beijing applied biological technologies  xabt,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,WS-1248,"Wantai SARS-CoV-2 RT-PCR
 Kit",wantai ,48T/kit,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd",beijing wantai biological pharmacy enterprise ,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,qSanger-COVID-19 Assay,qsanger  assay,3072T/kit,"BillionToOne, Inc",billiontoone ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,BC-01-0099 ,BioCore 2019-nCoV Real Time PCR Kit,biocore 2019 real time ,100T/kit ,BioCore Co. Ltd.,biocore ,US FDA EUA TGA,,TRUE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,BC-01-0099 x4,BioCore 2019-nCoV Real Time PCR Kit,biocore 2019 real time ,400T/kit,BioCore Co. Ltd.,biocore ,US FDA EUA TGA,,TRUE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,BS-SY-SC2-100 ,Bio-Speedy® Direct RT-qPCR SARS-CoV-2,bio speedy direct qpcr  ,100T/kit ,Bioeksen R&D Technologies Ltd,bioeksen rd technologies ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
,,,BS-SY-SC2-1000,Bio-Speedy® Direct RT-qPCR SARS-CoV-3,bio speedy direct qpcr 3,1000T/kit,Bioeksen R&D Technologies Ltd,bioeksen rd technologies ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,BS-SY-SC2-100 ,"Bio-Speedy® Direct RT-qPCR SARS-CoV-2
 rebranded to BioeXsen SARS-CoV-2 RT PCR",bio speedy direct qpcr rebranded bioexsen pcr,100T/kit ,Bioeksen R&D Technologies Ltd (distributed by BioeXsen GmbH),bioeksen rd technologies  distributed bioexsen gmbh,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
,,,BS-SY-SC2-1000,"Bio-Speedy® Direct RT-qPCR SARS-CoV-2
 rebranded to BioeXsen SARS-CoV-2 RT PCR",bio speedy direct qpcr rebranded bioexsen pcr,1000T/kit,Bioeksen R&D Technologies Ltd (distributed by BioeXsen GmbH),bioeksen rd technologies  distributed bioexsen gmbh,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,BS-SY-WCOR-304- 100,Bio-Speedy® Direct RT-qPCR SARS-CoV-2,bio speedy direct qpcr  ,100T/kit,Bioeksen R&D Technologies Ltd,bioeksen rd technologies ,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,423745,BioFire® COVID-19 Test,biofire  ,6T/kit,"BioFire Defense, LLC",biofire defense ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,423744,BioFire® COVID-19 Test,biofire  ,30T/kit,"BioFire Defense, LLC",biofire defense ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,423738,Biofire Respiratory Panel 2.1 (RP2.1),biofire respiratory panel 21 rp21,,BioFire Diagnostics LLC,biofire diagnostics ,"(US FDA EUA replaced by DeNovo approval)
 Health Canada/Interim Order TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,"$3,210.00",$107.00
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,500-003-XMP,BioGX Xfree COVID-19 Direct RT-PCR,biogx xfree  direct pcr,104T/kit,"BioGX, Inc.",biogx ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Biomeme SARS-CoV-2 Real- Time RT-PCR,biomeme real  time pcr,96T/kit,Biomeme Inc.,biomeme ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,3000555,Biomeme SARS-CoV-2 Go- Strips,biomeme go  strips,,Biomeme Inc.,biomeme ,"US FDA
 Health Canada/Interim Order",,FALSE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,423735,ARGENE® SARS-COV-2 R- GENE®,argene r  gene,30 and 120T/kit (depending on PCR),BioMérieux SA,biomrieux sa,revoked US FDA EUA Health Canada/Interim Order,,TRUE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,SARS-COV-2 R-GENE®,  gene,,BioMérieux SA,biomrieux sa,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,12013743,Bio-Rad SARS-CoV-2 ddPCR Kit,bio rad ddpcr ,200T/kit,Bio-Rad Laboratories Inc,biorad laboratories ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,BS7nCoV,Real-Q 2019-nCoV Detection Kit,real 2019 detection ,100T/kit,BioSewoom,biosewoom,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,TD1100,COVID-19 RT-PCR PNA kit, pna ,24T/kit,BioTNS,biotns,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,$550.00,$5.50
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,XPRSARS-COV2-10,Xpert® Xpress SARS-CoV-2,xpert xpress  ,10T/kit,Cepheid,cepheid,"US FDA EUA
 Health Canada/Interim Order TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,$149.00,$14.90
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"VIASURE SARS-CoV-2 Real
 Time PCR Detection Kit",viasure real time detection ,,CerTest Biotec SL / Abacus dx,certest biotec sl  abacus dx,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"VIASURE SARS-CoV-2 S gene
 Real Time PCR Detection Kit",viasure s gene real time detection ,,CerTest Biotec SL / Becton Dickensen,certest biotec sl  becton dickensen,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,HBRT-COVID-19,COVID-19 Real-Time PCR Kit, real time ,24T/kit,Chaozhou Hybribio Biochemistry Ltd.,chaozhou hybribio biochemistry ,TGA WHO EUL,,FALSE,FALSE,TRUE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Clear Dx™ SARS-CoV-2 Test,clear dx ,192T/kit,"Clear Labs, Inc",clear labs ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,TR-US-01,Clinomics TrioDx RT-PCR COVID-19 Test,clinomics triodx  ,100T/kit,Clinomics USA Inc.,clinomics usa ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,COVID-K-001,"LOGIX SMART™ Coronavirus
 Disease 2019 (COVID-19) Kit",logix smart coronavirus disease 2019  ,100T/kit,"Co-Diagnostics, Inc",codiagnostics ,US FDA EUA TGA,,TRUE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"DirectDetect™ SARS-CoV-2
 Detection Kit",directdetect detection ,,Coyote Bioscience Co Ltd (China),coyote bioscience  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Aridia COVID-19 Real-Time PCR Test,aridia  real time ,,CTK Biotech Inc (United States Of America),ctk biotech  united states of america,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,C1020,Cue COVID-19 Test,cue  ,,Cue Health Inc,cue health ,"US FDA EUA
 Health Canada/Interim Order",,TRUE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,99-57003,HDPCR™ SARS-CoV-2 Assay,hdpcr assay,480T/kit,"ChromaCode, Inc.",chromacode ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DA0930  ,"Detection Kit for 2019 Novel Coronavirus (2019-nCoV) RNA, (PCR- Fluorescence Probing)",detection  2019 novel coronavirus 2019 rna  fluorescence probing,24T/kit ,"Da An Gene Co., Ltd. of Sun Yat-sen University",da an gene  of sun yatsen university,WHO EUL TGA,,FALSE,FALSE,TRUE,FALSE,TRUE,,#N/A,#N/A
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DA0931,"Detection Kit for 2019 Novel Coronavirus (2019-nCoV) RNA, (PCR- Fluorescence Probing)",detection  2019 novel coronavirus 2019 rna  fluorescence probing,96T/kit,"Da An Gene Co., Ltd. of Sun Yat-sen University",da an gene  of sun yatsen university,WHO EUL TGA,,FALSE,FALSE,TRUE,FALSE,TRUE,,#N/A,#N/A
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DA0932,"Detection Kit for 2019 Novel Coronavirus (2019-nCoV) RNA, (PCR- Fluorescence Probing)",detection  2019 novel coronavirus 2019 rna  fluorescence probing,,"Da An Gene Co., Ltd. of Sun Yat-sen University",da an gene  of sun yatsen university,WHO EUL TGA,,FALSE,FALSE,TRUE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,QuickNavi-Flu+COVID19 Ag,quicknavi flu19 ag,,"Denka Co., Ltd.",denka ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MOL4150,MobileDetect-BIO BCC19 Test Kit,mobiledetect bio bcc19  ,24T/kit,DetectaChem LLC,detectachem ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DC-11-0007,QuantiVirus SARS-CoV-2 Test kit,quantivirus  ,24T/kit,"DiaCarta, Inc",diacarta ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DC-11-0008,QuantiVirus SARS-CoV-2 Test kit,quantivirus  ,48T/kit,"DiaCarta, Inc",diacarta ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DC-11-0009,QuantiVirus SARS-CoV-2 Test kit,quantivirus  ,480T/kit,"DiaCarta, Inc",diacarta ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DC-11-0017,QuantiVirus SARS-CoV-2 Mulitplex Test kit,quantivirus mulitplex  ,24T/kit,"DiaCarta, Inc",diacarta ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DC-11-0018,QuantiVirus SARS-CoV-2 Mulitplex Test kit,quantivirus mulitplex  ,48T/kit,"DiaCarta, Inc",diacarta ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,DC-11-0019,QuantiVirus SARS-CoV-2 Mulitplex Test kit,quantivirus mulitplex  ,480T/kit,"DiaCarta, Inc",diacarta ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MOL4150,Simplexa™ COVID-19 Direct,simplexa  direct,24T/kit,DiaSorin Molecular,diasorin molecular,"US FDA EUA
 Health Canada/Interim Order TGA
 WHO EUL",,TRUE,TRUE,TRUE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,LMP401,Loopamp New Coronavirus 2019 (SARS-CoV-2) Detection Reagent Kit,loopamp new coronavirus 2019 detection reagent ,48T/kit,"Eiken Chemical Co., Ltd.",eiken chemical ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,ENZ-GEN215-0096,"AMPIPROBE® SARS-CoV-2
 Assay kit",ampiprobe assay ,,"Enzo Life Sciences, Inc.",enzo life sciences ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MP 2606-0125,EURORealTime SARS-CoV-2,eurorealtime  ,25T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,"Health Canada/Interim Order US FDA EUA
 TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MP 2606-0225,EURORealTime SARS-CoV-3,eurorealtime 3,50T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,"Health Canada/Interim Order US FDA EUA
 TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MP 2606-0425,EURORealTime SARS-CoV-4,eurorealtime 4,100T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,"Health Canada/Interim Order US FDA EUA
 TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MP 2606-0100,EURORealTime SARS-CoV-5,eurorealtime 5,100T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,"Health Canada/Interim Order US FDA EUA
 TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MP 2606-0200,EURORealTime SARS-CoV-6,eurorealtime 6,200T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,"Health Canada/Interim Order US FDA EUA
 TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,MP 2606-1000,EURORealTime SARS-CoV-7,eurorealtime 7,1000T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,"Health Canada/Interim Order US FDA EUA
 TGA",,TRUE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,"11416302 (FTD-114-
 96)",FTD SARS-CoV-2,ftd  ,96T/kit,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),fast track diagnostics luxembourg srl siemens healthineers company,US FDA EUA PMDA,,TRUE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,"11416300 (FTD-114-
 32)",FTD SARS-CoV-2,ftd  ,32T/kit,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),fast track diagnostics luxembourg srl siemens healthineers company,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,"11416284 (FTD-114-
 96)",FTD SARS-CoV-3,ftd 3,96T/kit,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),fast track diagnostics luxembourg srl siemens healthineers company,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,102-0355,Advanta Dx SARS-CoV-2 RT- PCR Assay,advanta dx  assay,,Fluidigm Corporation,fluidigm corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,μTASWako SARS-CoV-2,taswako  ,,FUJIFILM Wako Pure Chemical Corporation,fujifilm wako pure chemical corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,CV002,GenePro SARS-CoV-2 Test,genepro ,,"Gencurix, Inc.",gencurix ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,NeoPlex COVID-19 Detection Kit,neoplex  detection ,96T/kit,"GeneMatrix, Inc.",genematrix ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,4PCO052E,GB SARS-CoV-2 Real Time RT- PCR,gb real time  pcr,100T/kit,General Biologicals Corp,general biologicals corp,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"EasyScreen™ SARS-CoV-2
 Detection Kit",easyscreen detection ,,Genetic Signatures Ltd (Australia),genetic signatures  australia,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,RPQ021 ,Genetron SARS-CoV-2 RNA Test,genetron rna ,50T/kit ,"Genetron Health (Beijing) Co., Ltd.",genetron health beijing ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,RPQ022,Genetron SARS-CoV-2 RNA Test,genetron rna ,100T/kit,"Genetron Health (Beijing) Co., Ltd.",genetron health beijing ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,EA008212,ePlex® SARS-CoV-2 Test,eplex ,12T/kit,"GenMark Diagnostics, Inc",genmark diagnostics ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
