,"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,"vlookup to ""CE-markted tests""","ISNUMBER(SEARCH(""US FDA EUA"", R1))","ISNUMBER(SEARCH(""Health Canada/Interim Order"", R1))","ISNUMBER(SEARCH(""WHO EUL"", R1))","ISNUMBER(SEARCH(""PMDA"", R1))","ISNUMBER(SEARCH(""TGA"", R1))",ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,33,462,146,174,101,
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,10,10,,2019-nCoV Antigen Rapid Test Kit (Colloidal Gold Immunochromatography),,2019 antigen rapid colloidal gold immunochromatography,,"Beijing Lepu Medical Technology Co., Ltd",beijing lepu medical technology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
24,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,11,11,,2019-nCoV Antigen Test (Lateral Flow Method),2019nCoVAntigenTestLateralFlowMethod,2019 antigen  lateral flow method,,Guangzhou Wondfo Biotech Co Ltd (China),guangzhou wondfo biotech  china,China,,China,Test approved by one or more SRA,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,IND0164,IDN0094,,PHL0098,Yes
20,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,12,12,,2019-nCoV Fluorescence Detection Real-time RT-PCR Kit,2019nCoVFluorescenceDetectionRealtimeRTPCRKit,2019 fluorescence detection real time,,Sysmex Corporation,sysmex corporation,,,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,13,13,DXTM67120 (500RXNS),2019-NCoV Taqman Rt-PCR Kit Dx,2019NCoVTaqmanRtPCRKitDx,2019 taqman  dx 500,,Norgen Biotek Corp. (Canada),norgen biotek corp canada,,,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,14,14,DXTM67100 (50RXNS),2019-NCoV Taqman Rt-PCR Kit Dx,2019NCoVTaqmanRtPCRKitDx,2019 taqman  dx 50,,Norgen Biotek Corp. (Canada),norgen biotek corp canada,,,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
22,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,15,15,,2019-nCOV/COVID-19 IgG/IgM Rapid Test Device,2019nCOVCOVID19IgGIgMRapidTestDevice,2019 iggigm rapid  device,see IFU,Hangzhou Realy Tech Co Ltd (China),hangzhou realy tech  china,,,,,"TGA
 ",,removed from US FDA EUA,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,Yes
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,16,16,3103010011,3DMed 2019-nCoV RT-qPCR,3DMed2019nCoVRTqPCR,3dmed 2019 qpcr,100T/kit,3D Biomedicine Science & Technology Co,3d biomedicine science  technology co,,,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,IND0118,,,,Yes
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,17,17,09N77-090,Abbott RealTime SARS-CoV-2 RT-PCR Kit,AbbottRealTimeSARSCoV2RTPCRKit,abbott realtime 090,96T/kit,Abbott Molecular,abbott molecular,,,,,"Health Canada/Interim Order TGA
 WHO EUL",,,FALSE,TRUE,TRUE,FALSE,TRUE,,,,960,,10,,PKS0002,,,,,Yes
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,18,18,09N77-095,Abbott RealTime SARS-CoV-2 RT-PCR Kit,AbbottRealTimeSARSCoV2RTPCRKit,abbott realtime 095,4x24T/Box,Abbott Molecular,abbott molecular,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,960,,10,,,IND0127,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,19,19,COV4100,Accula SARS-Cov-2 Test,AcculaSARSCov2Test,accula,,Mesa Biotech Inc.,mesa biotech,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
20,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,20,20,,Accuraseed SARS-CoV-2Ag,AccuraseedSARSCoV2Ag,accuraseed  ag,,FUJIFILM Wako Pure Chemical Corporation,fujifilm wako pure chemical corporation,,,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,Yes
23,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,21,21,L031-11711,ACON SARS-CoV-2 IgG/IgM Rapid Test,ACONSARSCoV2IgGIgMRapidTest,acon iggigmrapid,see IFU,"ACON Laboratories, Inc",acon laboratories,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,IDN0023,,,Yes
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,22,22,,Actim SARS CoV-2,ActimSARSCoV2,actim,,Medix Biochemica,medix biochemica,Finland,,Finland,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,23,23,,Acura Seed SARS-CoV-2 Antigen,AcuraSeedSARSCoV2Antigen,acura seed antigen,,FujiFilm Corporation,fujifilm corporation,Japan,,Japan,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
22,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,24,24,8075,ADEXUSDx COVID-19 Test,ADEXUSDxCOVID19Test,adexusdx,50,"NOWDiagnostics, Inc",nowdiagnostics,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,25,25,102-0355,Advanta Dx SARS-CoV-2 RT- PCR Assay,AdvantaDxSARSCoV2RTPCRAssay,advanta dx  assay,,Fluidigm Corporation,fluidigm corporation,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,26,26,,ADVIA Centaur SARS-CoV-2 Antigen (CoV2Ag),ADVIACentaurSARSCoV2AntigenCoV2Ag,advia centaur antigen cov2ag,,Siemens Healthcare Diagnostics Inc.,siemens healthcare diagnostics,Germany,,Germany,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,PKS0005,,,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,27,27,,AffiDX SARS-CoV-2 Lateral Flow Antigen Test,AffiDXSARSCoV2LateralFlowAntigenTest,affidx lateral flow antigen,,Avacta Life Sciences Ltd,avacta life sciences,United Kingdom,,United Kingdom,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
20,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,28,28,,AFIAS COVID-19 Ag Test Cartridge,AFIASCOVID19AgTestCartridge,afias  ag cartridge,,TOKYO BOEKI MEDISYS INC,tokyo boeki medisys,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,Yes
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,29,29,,AFIAS COVID-19 Ag Test Cartridge,AFIASCOVID19AgTestCartridge,afias  ag  cartridge,,Tokyo Boeki Medisys,tokyo boeki medisys,Japan,Japan,Japan,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,$0.00,,,,IND0214,,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,30,30,,"AFIAS COVID-19, Viral Antigen (automated)",AFIASCOVID19ViralAntigenautomated,afias  viral antigen automated,,"Boditech Med, Inc.",boditech med,Republic of Korea,,Republic of Korea,Test that meet WHO TPP according to external evaluation,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,31,31,,AG-Q COVID-19 N Antigen Rapid Diagnostic Kit,AGQCOVID19NAntigenRapidDiagnosticKit,ag  antigen rapid diagnostic,,Agappe Diagnostics,agappe diagnostics,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,https://www.agappe.com/media/catalog/product/file/13814009_AgQ-19.pdf,,,,,,IND0306,,,,
24,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,32,32,09N78-090,Alinity m SARS-CoV-2 AMP Kit,AlinitymSARSCoV2AMPKit,alinity   amp-090,192T/kit,Abbott Molecular,abbott molecular,,,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,1209.6,,12.6,,,,,,,Yes
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,33,"33, 947",09N78-095,Alinity m SARS-CoV-2 AMP Kit | Alinity m SARS-CoV-2 AMP Kit,AlinitymSARSCoV2AMPKit|AlinitymSARSCoV2AMPKit,alinity   amp-095,96T/kit,Abbott Molecular | Abbott Molecular,abbott molecular,,,,,US FDA EUA PMDA TGA,,,TRUE,FALSE,FALSE,TRUE,TRUE,,,,1209.6,,12.6,,,,,ZAF0097,,Yes
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,34,34,,AllCheck COVID19 Ag,AllCheckCOVID19Ag,allcheck 19 ag,,CALTH Inc.,calth,Republic of Korea,,Republic of Korea,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,35,"35, 927",RP10243X,Allplex™ 2019-nCoV Assay kit | Allplex 2019-NCoV Assay,Allplex2019nCoVAssaykit|Allplex2019NCoVAssay,allplex 2019 assay,100T/kit,Seegene Inc | Seegene Inc.,seegene,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,645,,5.2,,,,,ZAF0067,,Yes
24,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,36,36,RP10252W,Allplex™ 2019-nCoV Assay kit,Allplex2019nCoVAssaykit,allplex 2019 assay 124,124T/kit,Seegene Inc,seegene,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,645,,5.2,,,,,,,Yes
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,37,"37, 1223",LCOVG-010820 LCOVG-020820 LCOVG-030820,Alpine COVID-19 Antigen Rapid Test kit | Alpine COVID-19 Antigen Rapid Test kit,AlpineCOVID19AntigenRapidTestkit|AlpineCOVID19AntigenRapidTestkit,alpine  antigen rapid,,"Alpine Biomedicals Pvt. Ltd., Ambala (Haryana), India | Alpine Biomedicals Pvt. Ltd., Ambala (Haryana), India",alpine biomedicals pvt  ambala haryana india,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,"IND0016, IND0286",,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,38,38,,Amela Covid-19 Antigen test,AmelaCovid19Antigentest,amela  antigen,,Amedica SA,amedica sa,Norway,,Norway,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,39,39,,AMP Rapid Test SARS-CoV-2 Ag,,amp rapid  ag,,AMEDA Labordiagnostik GmbH,ameda labordiagnostik gmbh,Austria,,Austria,Test that meet WHO TPP according to external evaluation,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,ZAF0187,,
19,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,40,40,,Ampdirect 2019-nCoV detection kit,,ampdirect 2019 detection,,Shimadzu Corporation,shimadzu corporation,,,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,Yes
20,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,41,41,ENZ-GEN215-0096,AMPIPROBE® SARS-CoV-2 Assay kit,,ampiprobe  assay,,"Enzo Life Sciences, Inc.",enzo life sciences,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,42,42,A49869,Amplitude™ Solution with TaqPath COVID-19 High Throughput Combo Kit,,amplitude solution with taqpath  high throughput combo,20000/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,,,,,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,43,43,,ANTIGEN SARS-CoV-2 QUICK TEST,ANTIGENSARSCoV2QUICKTEST,antigen quick,,Alamar Tecno Cientifica Ltda,alamar tecno cientifica a,Brazil,,Brazil,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,44,44,,Antigen Test Kit,,antigen,,Angstrom Biotech Pvt. Ltd,angstrom biotech pvt,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,https://angstrombiotech.in/adminpanel/images/product/pdf/pdf_new/antigen.pdf,,,,,,IND0017,,,,
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,45,45,,AnyLab COVID-19 Ag Test Kit,,anylab  ag,,Z BIOTECH INC.,z biotech,Republic of Korea,,Republic of Korea,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,46,46,PRD-06419,Aptima SARS-CoV-2 assay,,aptima assay,250T/kit,Hologic Inc,hologic,,,,,US FDA EUA TGA PMDA,,,TRUE,FALSE,FALSE,TRUE,TRUE,,,,3000,,12,,,,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,47,47,SS-9920,AQ-TOP COVID-19 Rapid Detection Kit,,aq top  rapiddetection,96T/kit,Seasun Biomaterials,seasun biomaterials,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,48,48,SS-9940,AQ-TOP COVID-19 Rapid Detection Kit PLUS,,aq top  rapiddetection  plus,96T/kit,Seasun Biomaterials,seasun biomaterials,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
22,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,49,49,423735,ARGENE® SARS-COV-2 R- GENE®,,argene r  gene,30 and 120T/kit (depending on PCR),BioMérieux SA,biomrieux sa,,,,,revoked US FDA EUA Health Canada/Interim Order,,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,ZAF0057,,Yes
21,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,50,50,,Aridia COVID-19 Real-Time PCR Test,,aridia  real time,,CTK Biotech Inc (United States Of America),ctk biotech  united states of america,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,IDN0110,ZAF0149,,Yes
22,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,51,51,50-10047,ARIES® SARS-CoV-2 Assay Kit,ARIESSARSCoV2AssayKit,aries assay,24T/kit,Luminex Corporation,luminex corporation,,,,,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,52,52,,Arista COVID-19 Antigen Rapid Test,,arista  antigen rapid,,Arista Biotech,arista biotech,Singapore,,Singapore,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,IND0132,,,,
19,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,53,53,,ARISTA™ COVID-19 Antigen Rapid Test,,arista  antigenrapid,,Arista Biotech Pte Ltd (Singapore),arista biotech   singapore,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,Yes
22,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,54,54,,Arsonic COVID-19 Ag,,arsonic  ag,,Alfresa Pharma Corporation,alfresa pharma corporation,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,0,,,,IND0131,,,,Yes
20,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,55,55,A03-50-422,Artron COVID-19 Antigen Test,,artron  antigen,,Artron Laboratories Inc. (Canada),artron laboratories  canada,,,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,56,56,,Artron COVID-19 Antigen Test Kit,,artron  antigen,,Artron BioResearch Inc. / Artron Laboratories Inc.,artron bioresearch artron laboratories,Canada,,Canada,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,http://www.artronlab.com/products/COVID%20Ag%20brochure-min.pdf,,,,,,IND0133,,,,
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,57,57,,Asan Easy Test COVID-19 Ag,,asan easy ag,,Asan Pharmaceutical Co. Ltd,asan pharmaceutical,Republic of Korea,,Republic of Korea,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
22,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,58,58,COV-W23M,Assure COVID-19 IgG/IgM Rapid Test Device,AssureCOVID19IgGIgMRapidTestDevice,assure  iggigm rapid  device,see IFU,"Assure Tech. (Hangzhou Co., Ltd)",assure tech hangzhou,,,,,Health Canada/Interim Order US FDA EUA,,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
21,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,59,59,,Assure COVID-19 IgG/IgM Rapid Test Device rebranded as Ecotest COVID-19 IgG/IgM Rapid Test Device,,assure  iggigm rapid  device rebranded as ecotest  iggigm rapid  device,see IFU,"Assure Tech. (Hangzhou Co., Ltd)",assure tech hangzhou,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,ZAF0035,,Yes
21,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,60,60,,Assure COVID-19 IgG/IgM Rapid Test Device rebranded as Fastep COVID-19 IgG/IgM Rapid Test Device,AssureCOVID19IgGIgMRapidTestDevicerebrandedasFastepCOVID19IgGIgMRapidTestDevice,assure  iggigm rapid  device rebranded as fastep  iggigm rapid  device,see IFU,"Assure Tech. (Hangzhou Co., Ltd)",assure tech hangzhou,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,61,61,,Atellica IM SARS-CoV-2 Antigen (CoV2Ag),,atellica im antigen cov2ag,,Siemens Healthcare Diagnostics Inc.,siemens healthcare diagnostics,Germany,,Germany,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,62,62,,Atomo COVID-19 Antigen Test,,atomo  antigen,,"Access Bio, Inc.",access bio,USA,,USA,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,IND0128,,,,
20,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,63,63,,AtomoRapid™ COVID-19 IgM/IgG Antibody Test,,atomorapid igmigg antibody,see IFU,Atomo Diagnostics Limited,atomo diagnostics limited,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,Yes
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,64,64,,Basall Family Test 2019-nCov Antigen,,basall family  2019 antigen,,LMG - Laser Medical Group,lmg  laser medical group,Brazil,,Brazil,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
20,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,65,65,256091 256113 256114,Bd Kit For Rapid Detection Of SARS-CoV-2,,bd  rapid detection,,"Becton, Dickinson and Company",becton dickinsoncompany,,,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,Yes
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,66,66,445003-01,BD SARS-CoV-2 Reagents,,bd reagents,24T/kit,"Becton, Dickinson and Company",becton dickinsoncompany,,,,,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,408,,17,,,,,,,Yes
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,67,67,,BD Veritor At-Home COVID-19 Test,,bd veritor at home,,"Becton, Dickinson, & Company (BD)",becton dickinson  company bd,USA,,USA,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
27,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,68,68,256082,BD Veritor System for Rapid Detection of SARS-CoV-2,,bd veritor system rapid detection,30T/kit,"Becton, Dickinson and Company",becton dickinsoncompany,USA,USA,USA,Test approved by one or more SRA,"US FDA EUA
 Health Canada/Interim Order PMDA
 TGA",,,TRUE,TRUE,FALSE,TRUE,TRUE,https://www.fda.gov/media/139755/download,https://www.fda.gov/media/139755/download,,,20,,,,IND0137,,ZAF0177,,Yes
23,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,69,69,,BD Veritor System for Rapid Detection of SARS-CoV-2 & Flu A+B,,bd veritor system rapid detection  flu ab,30T/Kit,"Becton, Dickinson, & Company (BD)",becton dickinson  company bd,USA,USA,USA,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/147016/download,https://www.fda.gov/media/147016/download,,,22,,,,IND0138,,,,
