,index,no,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Matching P Tags,Top P Score Reports,Matching M Tags,Top M Score Reports,Top P Match Score,Top M Match Score,Top Agg Match (P&M),Top P Match UIDs,Top M Match UIDs,Top Agg Match UIDs
10,306,307,2021-02-11 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,135480000.0,IDR,12.45,Kg.,945.5,Kg.,300.0,PCE,9289291190 ANTI-SARS-COV-2 S CS ELECSYS,0,PK,,,,,SOEKARNO-HATTA (U),LUXEMBOURG,CARGOLUX AIRLINE,,0,,,Germany,,,,,,,,307,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"anti,elecsys","{'anti': 20, 'elecsys': 20}","diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche","{'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'}",40.0,21.0,87.0,777,131 | 132 | 133 | 252 | 256 | 643 | 647,777
11,364,365,2021-02-11 03:00:00,38220090,Lain-lain,PT. SINERGI INDOMITRA PRATAMA,JL. TEBET TIMUR DALEM 69B RT.01/06 TEBET JAKARTA SELATAN,ID - Indonesia,.,.,.,.,"SHANGHAI ZJ BIO-TECH CO.,LTD.","26 BLDG NO.588 XINJUNHUAN ROAD, SHANGHAI 201114",China,0.0,665713.0,USD,84.0,Kg.,430.0,Kg.,2803.0,PCE,"NOVEL CORONAVIRUS (2019-NCOV) REAL TIME MULTIPLEX RT-PCR KIT KD: BAIK,BARU",10,PK,,,,,SOEKARNO-HATTA (U),SHANGHAI PU DONG APT,CATHAY PACIFIC,,0,,,China,,,,,,,,365,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"time,coronavirus,novel,real,2019,multiplex","{'real,2019,multiplex,time,coronavirus,novel': '1ea'}","zj,shanghai | zj,shanghai","{'zj': 4, 'shanghai': '1ea'} | {'zj': 4, 'shanghai': '1ea'}",6.0,1.6666666666666667,15.333333333333334,449,449 | 450,449
12,382,383,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BINTANG CEMERLANG,ITC CEMPAKA MAS GROSIR LT.4 BLOK K NO.898 JL. LETJEN SUPRAPTO,ID - Indonesia,.,.,.,.,"XIAMEN JIQING BIOMEDICAL TECHNOLOGY CO.,","LTD. ADDRESS : UNIT 03, LEVEL 3, BUILDING 2,",China,0.0,4968.0,USD,93.0,Kg.,93.0,Kg.,4320.0,PCE,NOVEL CORONAVIRUS COVID-19 ANTIGEN TEST KIT (COLLOIDAL GOLD METHOD),9,PK,,,,,SOEKARNO-HATTA (U),SHENZHEN,CK,,0,,,China,,,,,,,,383,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"gold,antigen,colloidal | gold,antigen,colloidal","{'antigen': 4, 'gold,colloidal': '1ea'} | {'antigen': 4, 'gold,colloidal': '1ea'}","technology,biomedical | technology,biomedical | technology,biomedical | biomedical,xiamen","{'technology,biomedical': '1ea'} | {'technology,biomedical': '1ea'} | {'technology,biomedical': '1ea'} | {'biomedical,xiamen': '1ea'}",6.0,1.0,8.5,625 | 611,173 | 174 | 598 | 615,187
13,407,408,2021-02-11 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,6491200000.0,IDR,596.65,Kg.,945.5,Kg.,500.0,PCE,9289267190 ANTI-SARS-COV-2 S ELECSYS COBAS E 200,0,PK,,,,,SOEKARNO-HATTA (U),LUXEMBOURG,CARGOLUX AIRLINE,,0,,,Germany,,,,,,,,408,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"anti,elecsys","{'anti': 20, 'elecsys': 20}","diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche","{'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'}",40.0,21.0,87.0,777,131 | 132 | 133 | 252 | 256 | 643 | 647,777
14,494,495,2021-02-10 03:00:00,38220090,Lain-lain,PT. GENBODY INDONESIA SEJAHTERA,"RUKO SEGITIGA MAS KAV. H-6, JL. A. YANI NO.221-223, BANDUNG, JAWA BARA",ID - Indonesia,.,.,.,.,OPTOLANE TECHNOLOGIES INC,"6F, 20, PANGYOYEOK-RO 24 1BEON-GIL, BUNDANG-GU, SE",South Korea,0.0,672.74,USD,40.0,Kg.,40.0,Kg.,5.0,KT,DR. PCR DIS20K SARS-COV-2 DETECTION KIT,0,PK,,,,,SOEKARNO-HATTA (U),INCHEON,KOREAN AIRLINES,,0,,,North Korea,,,,,,,,495,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"detection | detection | detection,pcr | detection | detection | detection | detection | detection | 2,detection | detection | detection | detection | pcr | detection,pcr | pcr | detection | detection | detection | 2,detection | detection | pcr | detection","{'detection': 1} | {'detection': 1} | {'detection': 1, 'pcr': '1ea'} | {'detection': 1} | {'detection': 1} | {'detection': 1} | {'detection': 1} | {'detection': 1} | {'detection': 1, '2': '1ea'} | {'detection': 1} | {'detection': 1} | {'detection': 1} | {'pcr': '1ea'} | {'detection': 1, 'pcr': '1ea'} | {'pcr': '1ea'} | {'detection': 1} | {'detection': 1} | {'detection': 1} | {'detection': 1, '2': '1ea'} | {'detection': 1} | {'pcr': '1ea'} | {'detection': 1}","technologies,optolane","{'optolane': 20, 'technologies': '1ea'}",0.5,21.0,42.666666666666664,328 | 925 | 933 | 245 | 164 | 1020 | 433 | 968 | 1323 | 251 | 1352 | 546 | 952 | 1368 | 1035 | 1133 | 150 | 1070 | 1231 | 362 | 1442 | 1021,364,364
15,502,503,2021-02-10 03:00:00,38220090,Lain-lain,PT. SETIA ANUGRAH MEDIKA,JALAN MITRA SUNTER BOULEVARD B/39  YOS SUDARSOKAV 89 KEL SUNTER,ID - Indonesia,.,.,.,.,"SHENZEN YHLO BIOTECH CO., LTD",BUILDING 1 YHLO BIOPAK BAOLONG 2ND ROAD BAOLONG,China,0.0,87556.1,USD,1075.0,Kg.,1075.0,Kg.,50000.0,NIU,GLINE-2019-NCOV AG,0,PK,,,,,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,,0,,,China,,,,,,,,503,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"ag,gline,2019","{'gline': 20, 'ag': 4, '2019': '1ea'}","yhlo,biotech | yhlo,biotech | yhlo,biotech","{'yhlo': 20, 'biotech': '1ea'} | {'yhlo': 20, 'biotech': '1ea'} | {'yhlo': 20, 'biotech': '1ea'}",25.0,10.5,71.0,311,311 | 332 | 730,311
16,511,512,2021-02-10 03:00:00,38220020,"Kertas karton, gumpalan selulosa dan jaringan dari serat selulosa diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. TRIMITRA WISESA ABADI,KOMPLEK PERTOKOAN LINDETEVES TRADE CENTER LT.2 BLOK C 43 NO.27-28 JL.,ID - Indonesia,.,.,.,.,"KIN & COMPANY CO., LTD","4F MIJOO PLAZA, SUNGNAM-DAERO 343 BEONGIL 12-8,",South Korea,0.0,102860.0,USD,33.0,Kg.,33.0,Kg.,10000.0,PCE,LILIF COVID-19 MULTI REAL-TIME RT-PCR (INCLUDING DRY ICE) BAIK/BARU,0,PK,,,,,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,KOREAN AIRLINES,,0,,,United States,,,,,,,,512,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"time,real,lilif,multi","{'time,real,lilif,multi': '1ea'}",co | co | co,{'co': '1ea'} | {'co': '1ea'} | {'co': '1ea'},4.0,0.5,4.0,1349,520 | 903 | 956,1349
17,526,527,2021-02-10 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,44235000.0,IDR,1.07,Kg.,101.0,Kg.,18.0,PCE,09175440190     KIT COBAS 6800 / 8800 SARS-COV-2 RMC,0,PK,,,,,SOEKARNO-HATTA (U),INDIANAPOLIS,EVA AIRLINE,,0,,,United States,,,,,,,,527,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,cobas | cobas | cobas,{'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},"diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche","{'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'}",0.5,21.0,43.0,131 | 132 | 133,131 | 132 | 133 | 252 | 256 | 643 | 647,131 | 132 | 133
18,531,532,2021-02-10 03:00:00,38220090,Lain-lain,PT. RAFA TOPAZ UTAMA,JL.RADIN INTEN II TAMAN BUARAN INDAH I BLOK U NO.242 RT.006  RW.014 KL,ID - Indonesia,.,.,.,.,LIFOTRONIC TECHNOLOGY (HONG KONG) LIMITE,"19H, MAXGRAND PLAZA NO.3 TAI YAU STREET SAN PO KON",Hong Kong,0.0,159540.0,USD,1615.76,Kg.,5359.0,Kg.,391.0,PCE,SARS-COV-2 NUCLEIC ACID DETECTION KIT (MULTIPLEX PCR,0,PK,,,,,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,,0,,,Hong Kong,,,,,,,,532,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"pcr,detection,nucleic,acid | pcr,detection,nucleic,acid | nucleic,acid","{'detection': 1, 'acid,nucleic,pcr': '1ea'} | {'detection': 1, 'acid,nucleic,pcr': '1ea'} | {'nucleic,acid': '1ea'}",technology | technology | technology | technology,{'technology': '1ea'} | {'technology': '1ea'} | {'technology': '1ea'} | {'technology': '1ea'},2.0,0.5,5.0,933 | 1368 | 144,933 | 897 | 384 | 819,933
19,536,537,2021-02-10 03:00:00,38220090,Lain-lain,PT. LANIROS DIAN PHARMA,"GEDUNG SATRIO TOWER LT.22, JL. PROF.DR.SATRIO KAV. C4, KEL.KEC.KOTA AD",ID - Indonesia,.,.,.,.,"ACRO BIOTECH, INC","9500 7TH ST, UNIT M, RANCHO CUCAMONGA, CA 91730",United States,0.0,208619.0,USD,1418.75,Kg.,1563.0,Kg.,100000.0,PCE,"JUSCHEK COVID-19 ANTIGEN RAPID TEST,20T/KIT (NASOPHARYNGEAL SWAB)",0,CT,,,,,SOEKARNO-HATTA (U),SHANGHAI PU DONG APT,JAPAN AIRLINES,,0,,,United States,,,,,,,,537,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"rapid,juschek,antigen,nasopharyngeal,swab","{'juschek': 20, 'rapid': 4, 'antigen': 4, 'nasopharyngeal': 4, 'swab': 4}","biotech,acro | biotech,acro | biotech,acro | biotech,acro | biotech,acro | biotech,acro | biotech,acro","{'acro': 20, 'biotech': '1ea'} | {'acro': 20, 'biotech': '1ea'} | {'acro': 20, 'biotech': '1ea'} | {'acro': 20, 'biotech': '1ea'} | {'acro': 20, 'biotech': '1ea'} | {'acro': 20, 'biotech': '1ea'} | {'acro': 20, 'biotech': '1ea'}",36.0,21.0,114.0,828,836 | 838 | 175 | 860 | 828 | 855 | 210,828
20,548,549,2021-02-10 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BIOTEK INTI KORPORINDO,"JL. GAJAH MADA NO. 3-5, KOMPLEK DUTA MERLIN BLOK D11-13, JAKARTA PUSAT",ID - Indonesia,.,.,.,.,RAPIGEN INC.,"3~F4,16 LS-RO,91 BEON-GIL,DONGAN-GU,ANYANG-SI,GYEO",South Korea,0.0,53260.2,USD,234.0,Kg.,261.0,Kg.,16000.0,PCE,BIOCREDIT COVID-19 AG -,20,CT,,,,,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,GARUDA INDONESIA,,0,,,North Korea,,,,,,,,549,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"ag,biocredit | ag,biocredit","{'biocredit': 20, 'ag': 4} | {'biocredit': 20, 'ag': 4}",rapigen | rapigen | rapigen,{'rapigen': 20} | {'rapigen': 20} | {'rapigen': 20},24.0,20.0,88.0,87 | 1042,87 | 89 | 88,87
21,552,553,2021-02-10 03:00:00,38220090,Lain-lain,PT. RAFA TOPAZ UTAMA,JL.RADIN INTEN II TAMAN BUARAN INDAH I BLOK U NO.242 RT.006  RW.014 KL,ID - Indonesia,.,.,.,.,LIFOTRONIC TECHNOLOGY (HONG KONG) LIMITE,"19H, MAXGRAND PLAZA NO.3 TAI YAU STREET SAN PO KON",Hong Kong,0.0,53128.9,USD,538.07,Kg.,5359.0,Kg.,500.0,PCE,SARS-COV-2 IGG (ELECTROCHEMILUMINESCENCE,0,PK,,,,,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,,0,,,Hong Kong,,,,,,,,553,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,igg,{'igg': 4},technology | technology | technology | technology,{'technology': '1ea'} | {'technology': '1ea'} | {'technology': '1ea'} | {'technology': '1ea'},4.0,0.5,4.0,1075,933 | 897 | 384 | 819,1075
