,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Score,Top P Match UIDs,Matching P Tags,Top P Score Reports,Top M Match Score,Top M Match UIDs,Matching M Tags,Top M Score Reports,Top Agg Match (P*M),Top Agg Match UIDs
10,10,251,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHOHAN & COMPANY.,21 Bahadurabad Block 03 Karachi,PK - Pakistan,.,.,.,.,"HANGZHOU ALLTEST BIOTECH CO.,LTD",,China,15086.0,0.0,USD,0.0,,0.0,,38.0,KG,"1 COVID 19 ANTIGEN RAPID TEST, ORIGIN FRANCE, APPROX NET WT 947 KGS,",0.0,,,,,,KAPE,,,,0.0,,,,,,,,,,,11,Pakistan Trade Atlas All 2021 HS 382200.csv,4.0,44 | 187 | 171 | 209 | 550 | 1173 | 618 | 648 | 1245 | 613 | 1243 | 643 | 1074 | 185,"antigen | antigen | rapid,antigen | rapid,antigen | rapid,antigen | rapid | rapid,antigen | rapid,antigen | rapid,antigen | rapid,antigen | rapid,antigen | rapid,antigen | rapid,antigen | rapid,antigen","{'antigen': 4, '': '1ea'} | {'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'} | {'rapid': 4, 'antigen': 4, '': '1ea'}",3.0,190 | 180 | 181 | 182 | 617 | 176 | 177 | 178 | 623 | 861 | 151 | 599 | 221 | 317,"hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech | hangzhou,alltest,biotech", |  |  |  |  |  |  |  |  |  |  |  |  | ,6.0,178 | 221
11,11,271,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,BOLLORE LOGISTICS USA INC,,United States,87026.1,0.0,USD,0.0,,0.0,,210.0,KG,DIAGNOSTIC TEST KITID NOW COVID19 24T OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,12,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,330 | 1338,now | diagnostic,{'now': '1ea'} | {'diagnostic': '1ea'},0.5,1214 | 127,usa | usa, | ,0.06666666666666667,240
12,12,468,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,990.45,0.0,USD,0.0,,0.0,,5.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 5 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,13,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,270 | 131 | 132 | 133,5 | cobas | cobas | cobas,{'5': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},3.0,893 | 911 | 914,"roche,diagnostics,gmbh | roche,diagnostics,gmbh | roche,diagnostics,gmbh", |  | ,1.0,131 | 132 | 133
13,13,569,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,118.24,0.0,USD,0.0,,0.0,,4.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 4 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,14,Pakistan Trade Atlas All 2021 HS 382200.csv,10.0,256 | 777,elecsys | elecsys,"{'elecsys': 20, '': '1ea'} | {'elecsys': 20, '': '1ea'}",3.0,893 | 911 | 914,"roche,diagnostics,gmbh | roche,diagnostics,gmbh | roche,diagnostics,gmbh", |  | ,20.0,256 | 893 | 911
14,14,667,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,198.09,0.0,USD,0.0,,0.0,,1.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 1 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22 EXEMPTION OF SRO 844 1007 AND 12B SERIAL  10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,15,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1273 | 131 | 132 | 133,10 | cobas | cobas | cobas,{'10': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},3.0,893 | 911 | 914,"roche,diagnostics,gmbh | roche,diagnostics,gmbh | roche,diagnostics,gmbh", |  | ,1.0,131 | 132 | 133
15,15,670,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PHARMAKON INTERNATIONAL ENTERPRISES.,Rawalpindi,PK - Pakistan,.,.,.,.,GENEREACH BIOTECHNOLOGY CORPORATION,,Taiwan,13704.0,0.0,USD,0.0,,0.0,,7.6,KG,SARSCOV2 DIAGNOSTIC KITS FOR DETECTION OF CORONA VIRUS DETAIL IS AS UNDER POCKIT CENTRAL SARS COV2 PPRMIX PCR REAGENT   24 TEST KIT  LOT NO . 1213112  EXP 2722023  BRAN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,16,Pakistan Trade Atlas All 2021 HS 382200.csv,2.0,1399,reagent,"{'reagent': 4, '': '1ea'}",1.2857142857142858,1316,"biotechnology,genereach,corporation",,0.6666666666666666,322
16,16,712,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IDS IMMUNODIAGNOSTIC SYSTEMS LTD,,United Kingdom,47350.26,0.0,USD,0.0,,0.0,,340.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME IDS IMMUNODIAGNOSTIC  ORIGIN UNITED KINGDOM TEMPERATURE CONTROL PACKED IN DRYICE1   IDS TGS SARSCOV2 PCR TEST LOT 56605 MFG DATE 2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,17,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,952 | 1035 | 1442,pcr | pcr | pcr,{'pcr': '1ea'} | {'pcr': '1ea'} | {'pcr': '1ea'},0.3333333333333333,1007 | 913 | 973 | 474 | 972 | 809 | 811,systems | systems | systems | systems | systems | systems | systems, |  |  |  |  |  | ,0.0,
17,17,714,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,DIESSE DIAGNOSTICA SENESE SPA,,Italy,17737.78,0.0,USD,0.0,,0.0,,255.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME DIESSE CHORUS DIAGNOSTICA  ORIGIN ITALY TEMPERATURE CONTROL PACKED IN DRYICE1   CHORUS SARSCoV2 IgM PCR TEST KITS LOT NO 81452 MFG,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,18,Pakistan Trade Atlas All 2021 HS 382200.csv,4.0,1076,igm,"{'igm': 4, '': '1ea'}",0.5,378 | 225 | 981 | 341,spa | diagnostica | spa | diagnostica, |  |  | ,0.2222222222222222,779
18,18,719,25-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,39846.16,0.0,USD,0.0,,0.0,,1.0,KG,SARSCoV2 PCR TEST KITS BRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,19,Pakistan Trade Atlas All 2021 HS 382200.csv,4.0,160 | 152,ag | ag,"{'ag': 4, '': '1ea'} | {'ag': 4, '': '1ea'}",0.5,609 | 635 | 584,ag | ag | ag, |  | ,0.0,
19,19,721,24-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",NATIONAL TB CONTROL PROGRAM (NTP),"Park Road F Block, Epi Building, Nih 11111 Islamabad Peshawar Pakistan",PK - Pakistan,.,.,.,.,CEPHEID HBDC SAS,,Netherlands,376939.0,0.0,USD,0.0,,0.0,,2500.0,KG,"XPRSARS VOV210 KIT XPRESS,SARSCOV2,10 TEST",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,20,Pakistan Trade Atlas All 2021 HS 382200.csv,0.0,,,,1.0,759,cepheid,,0.0,
20,20,797,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS CORP,,United States,259600.0,0.0,USD,0.0,,0.0,,50.0,KG,KIT COBAS 68008800 SARSCOV2 480T QTY 50 PCS BATCH NO H25151 MFG DT 18.10.21 EXP DT 30.9.22 EXEMPTION OF SRO 844  1007 I.T SERIAL 12B SERIAL 10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,21,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1273 | 131 | 132 | 133,10 | cobas | cobas | cobas,{'10': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},2.0,131 | 132 | 133 | 252 | 256 | 643 | 647,"roche,diagnostics | roche,diagnostics | roche,diagnostics | roche,diagnostics | roche,diagnostics | roche,diagnostics | roche,diagnostics", |  |  |  |  |  | ,1.0,131 | 132 | 133
21,21,818,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBEL MARKETING SERVICES.,111 Hali Road Westridge I 45000 Rawalpindi Cannt Pakistan,PK - Pakistan,.,.,.,.,VI SOLE FZC,,France,39999.99,0.0,USD,0.0,,0.0,,68.0,KG,SARS COV2 KITS XPERT XPRESS SARSCOV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,22,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,759 | 1297 | 1298,"xpress,xpert | xpress,xpert | xpress,xpert","{'xpress,xpert': '1ea'} | {'xpress,xpert': '1ea'} | {'xpress,xpert': '1ea'}",0.0,,,,0.0,
22,22,932,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHEMICAL HOUSE.,Lahore,PK - Pakistan,.,.,.,.,BIO RAD ABD SEROTE LTD,,United States,1778.98,0.0,USD,0.0,,0.0,,1.0,KG,Diagnostic Reagent SARS CoV2 Corinavirus Elisa Test Kits,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,23,Pakistan Trade Atlas All 2021 HS 382200.csv,10.0,1200 | 609 | 1202 | 1212,elisa | elisa | elisa | elisa,"{'elisa': 20, '': '1ea'} | {'elisa': 20, '': '1ea'} | {'elisa': 20, '': '1ea'} | {'elisa': 20, '': '1ea'}",0.5,544 | 62 | 108 | 109 | 368 | 367 | 366 | 369 | 419 | 352 | 702 | 214 | 110,bio | bio | bio | bio | bio | bio | bio | bio | bio | bio | bio | bio | bio, |  |  |  |  |  |  |  |  |  |  |  | ,1.25,544
23,23,959,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,720500.0,0.0,USD,0.0,,0.0,,1100.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V7 500RXNBOX QTY 1100 KIT,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,24,Pakistan Trade Atlas All 2021 HS 382200.csv,0.75,1326 | 1327 | 461,"novel,coronavirus,detection | novel,coronavirus,detection | novel,coronavirus,detection","{'detection': 1, 'novel,coronavirus': '1ea'} | {'detection': 1, 'novel,coronavirus': '1ea'} | {'detection': 1, 'novel,coronavirus': '1ea'}",0.0,,,,0.0,
24,24,997,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PROMED SOLUTIONS PVT LTD,.,PK - Pakistan,.,.,.,.,COMECER S.P.A,,Italy,200.0,0.0,USD,0.0,,0.0,,200.0,KG,KIT CLIO Disposable Kit for  CLIO X BTUSARE LOTTO FC00768  FOR MEDICAL USE SAMPLE SHIPMENT DV ALREADY HIGH,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,25,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,229,x,{'x': '1ea'},0.0,,,,0.0,
25,25,1037,21-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",SHAWN ENTERPRIES,Address: Shop No 93 Mz Land Mark Plaza Gulberg Gulberg Town Lahore,PK - Pakistan,.,.,.,.,FOREGENE CO LTD,,China,450.0,0.0,USD,0.0,,0.0,,45.0,KG,1.SARSCOVID2 NUCLEIC ACID DETECTION PCR KIT MULTIPLEX FLUORESCENT PROBE METHOD REF NOSC01012 LOT NO211101 MFG DATE18112021 EXP DATE17112022 96 TEST PER KIT ORIGIN CHINA,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,26,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1314 | 952 | 1009 | 1035 | 1442 | 144 | 1032 | 1012 | 1014,"96 | pcr,fluorescent | fluorescent | pcr,fluorescent | pcr,fluorescent | acid,nucleic | acid,method,detection,fluorescent,probe,nucleic | acid,method,detection,fluorescent,probe,nucleic | acid,method,detection,fluorescent,probe,nucleic","{'96': '1ea'} | {'pcr,fluorescent': '1ea'} | {'fluorescent': '1ea'} | {'pcr,fluorescent': '1ea'} | {'pcr,fluorescent': '1ea'} | {'acid,nucleic': '1ea'} | {'detection': 1, 'acid,method,fluorescent,probe,nucleic': '1ea'} | {'detection': 1, 'acid,method,fluorescent,probe,nucleic': '1ea'} | {'detection': 1, 'acid,method,fluorescent,probe,nucleic': '1ea'}",0.5,520 | 903 | 956,co | co | co, |  | ,0.03636363636363637,958
26,26,1051,21-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",AL QAZI MARKETING GROUP,.,PK - Pakistan,.,.,.,.,ZHEJIANG ORIENT GENE BIOTECH C,,China,435.0,0.0,USD,0.0,,0.0,,40.0,KG,SARSPCR KITS DETAIL AS UNDER 01. SARSCOV2 PCR DETECTION KIT  DIRECT FLUORESCENCE PCR   REF NO ACOV01   LOT NO AG211204   MFG 20211212   EXPIRY   20221211   ORIGIN CHIN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,27,Pakistan Trade Atlas All 2021 HS 382200.csv,0.6666666666666666,1284 | 1109 | 702,"detection,direct | fluorescence,detection | detection,direct","{'detection': 1, 'direct': '1ea'} | {'detection': 1, 'fluorescence': '1ea'} | {'detection': 1, 'direct': '1ea'}",4.0,138 | 376,"gene,biotech,orient,zhejiang | gene,biotech,orient,zhejiang", | ,0.125,150 | 418 | 442
