level_0,index,NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS,SOURCE_DATA_ROW,SOURCE_FILE_NAME,T,TES,TEST,BOX,CASSETTES,RXN,RNX,REACTION,KIT,PCS,PCE,STRIP,PDC,PDC_SPLIT,words,refined_words,REQUIRES_MANUAL_VERIFICATION,test_quantity,test_quantity_final,Auto_Data_Quality_index,Test_Type,Date,USD,IDR,JPY,CNY,AUD,GBP,EUR,SGD,VND,IMPORT_VALUE_CIF_USD,VOLUME1_PCE,VOLUME2_BOX,PER_PCE_GROSS_WEIGHT,PER_BOX_GROSS_WEIGHT,PER_PCE_NET_WEIGHT,PER_BOX_NET_WEIGHT,PER_PCE_UNIT_PRICE,PER_BOX_UNIT_PRICE,NEW_QUANTITY_UNIT,EQUAL_VOLUMES,PCE_NET_WEIGHT_CHECK,PCE_GROSS_WEIGHT_CHECK,BOX_NET_WEIGHT_CHECK,BOX_GROSS_WEIGHT_CHECK,PCE_PRICE_CHECK,BOX_PRICE_CHECK,DQI,QUANTITY_UNIT_FINAL,PCE_COUNT_IGNORE,BOX_COUNT_IGNORE,PDC_NEW_DF,MERGE_KEY,Count Data,Source: GF,Source: Path,Type of Test,Unique Identifier,Merged Unique ID,Manufacturer Product Catalogue number,"Product Name
(IVD product)",Product name- Special characters removed,product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Manufacturer HQ location- PATH,Manufactuer location- ADP ,Consolidated HQ Manufacturer Location [Info from Column I and J] (PATH Manufactuer HQ & ADP Manufacturer HQ),Phase ,Total SRA Criteria Eligibility ,Comments ,CE-IVD ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,IFU Link , IFU link Combined sources [Info from Column P&Q] (IFU links from ADP COVID-19 DPR & PATH),"Global Fund-Reference price per pack EXW, USD",ADP- Indicative purchase pricing (per test),"Global Fund- Reference price per test EXW, USD",Consolidated price per test (Global Fund- Reference price per test + ADP- Indicative purchase pricing (per test),Pakistan Merged ID,India Merged ID,Indonesia Merged ID,South Africa Merged ID,Philippines Merged ID,SRA Approval,PDC_NEW_MRL,product_match,MATCH_PERCENT,MRL_CHECK,DQI_FINAL,UNIQUE_ID_PULL,UNIT_PRICE_MATCH,REFERENCE_DETAIL_CLEAN,REFERENCE_DETAIL_MATCH
500,500,9079,2021-01-05 03:00:00,38220090,Lain-lain,PT. PADMA KUMARA MEDIKA,"GEDUNG AMANYAAK LOFT OF PLUIT LT.3, JL. PLUIT TIMUR BLOK L",ID - Indonesia,.,.,.,.,HANG ZHOU REALY TECHNOLOGY LIMITED,"HANGZHOU, ZHEJIANG 310018, P.R. CHINA",China,0.0,13059.0,USD,87.0,Kg.,92.0,Kg.,5000.0,PCE,SARS-COV-2 (COVID19) NUCLEOCAPSID PROTEIN (N) ANTIGEN DETECTION TEST SYSTEM (POCT),0,PK,0,0,0,0,SOEKARNO-HATTA (U),SHANGHAI,GA,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SARS COVID19 NUCLEOCAPSID PROTEIN N ANTIGEN DETECTION TEST SYSTEM POCT,"['SARS', 'COVID19', 'NUCLEOCAPSID', 'PROTEIN', 'N', 'ANTIGEN', 'DETECTION', 'TEST', 'SYSTEM', 'POCT']",['COVID19'],[],,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,13059.0,5000.0,5000.0,0.0184,0.0184,0.0174,0.0174,2.6118,2.6118,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,PCE,3,0,SARSCOV2 COVID19 NUCLEOCAPSID PROTEIN N ANTIGEN DETECTION TEST SYSTEM POCT,224,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,0.0,0,75,,,,0
501,501,9086,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,361044.98,USD,1526.65,Kg.,9412.0,Kg.,3270.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,KOREAN AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,361044.98,3270.0,3270.0,2.8782874617737004,2.8782874617737004,0.46686544342507647,0.46686544342507647,110.41130886850152,110.41130886850152,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,225,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
502,502,9103,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,1246071.88,USD,5148.41,Kg.,18696.0,Kg.,11015.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,MALAYSIA AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,1246071.88,11015.0,11015.0,1.6973218338629141,1.6973218338629141,0.4673999092147072,0.4673999092147072,113.12500045392646,113.12500045392646,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,226,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
503,503,9105,2021-01-05 03:00:00,38220090,Lain-lain,MITRA BAHAGIA CITRA MEDIKA,JL.RAYA KALIRUNGKUT 27 BLOK C/63 KALIRUNGKUT,ID - Indonesia,.,.,.,.,"ACON BIOTECH (HANGZHOU) CO., LTD","NO.210 ZHENZHONG ROAD, WEST LAKE DISTRICT, HANGZHOU P.R CHINA 310030",China,0.0,57760.0,USD,425.6,Kg.,453.0,Kg.,30400.0,PCE,SARS-COV-2 ANTIGEN RAPID TEST (25T/KIT) /AKL 20303026620,38,CT,0,0,0,0,JUANDA (U)-SURABAYA,SHANGHAI,GARUDA AIRLINES,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504,Indonesia 2021-version-13.csv,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SARS ANTIGEN RAPID TEST 25TKIT AKL 20303026620,"['SARS', 'ANTIGEN', 'RAPID', 'TEST', '25TKIT', 'AKL', '20303026620']","['25TKIT', '20303026620']",['25TKIT'],,['25'],25.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,57760.0,30400.0,760000.0,0.014901315789473684,0.0005960526315789474,0.014,0.0005600000000000001,1.9,0.076,"['PCE', 'PCE', 'PCE']",0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,PCE,3,0,SARSCOV2 ANTIGEN RAPID TEST 25TKIT AKL 20303026620,227,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,0.0,0,75,,,,0
504,504,9108,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,201611.05,USD,852.5,Kg.,9412.0,Kg.,1826.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,KOREAN AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,201611.05,1826.0,1826.0,5.1544359255202625,5.1544359255202625,0.46686746987951805,0.46686746987951805,110.41130887185103,110.41130887185103,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,228,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
505,505,9114,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,343334.38,USD,1418.56,Kg.,18696.0,Kg.,3035.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,MALAYSIA AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,343334.38,3035.0,3035.0,6.160131795716639,6.160131795716639,0.46740032948929155,0.46740032948929155,113.12500164744645,113.12500164744645,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,229,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
506,506,9118,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,128187.53,USD,542.03,Kg.,9412.0,Kg.,1161.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,KOREAN AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,128187.53,1161.0,1161.0,8.106804478897502,8.106804478897502,0.46686477174849267,0.46686477174849267,110.41130921619293,110.41130921619293,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,230,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
509,509,9136,2021-01-05 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. SETIA GUNA MEDIKA,"TAMAN KEBON JERUK BLOK.AA IV NO.39-40 RT.003/007 MERUYA SELATAN, KEMBA",ID - Indonesia,.,.,.,.,NANOENTEK INC.,"12F, 5, DIGITAL-RO, 26-GIL, GURO-GU, SEOUL, KOREA,",South Korea,0.0,2394.04,USD,7.62,Kg.,433.0,Kg.,20.0,EA,FREND COVID-19 AG* (20T/KIT),0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON,KOREAN AIR,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510,Indonesia 2021-version-13.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FREND AG 20TKIT,"['FREND', 'AG', '20TKIT']",['20TKIT'],['20TKIT'],,['20'],20.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,2394.04,20.0,400.0,21.65,1.0825,0.381,0.01905,119.702,5.9851,"['BOX', 'BOX']",0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,BOX,0,2,FREND COVID19 AG 20TKIT,231,21.0,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,287.0,287,,FREND COVID-19 Ag,FRENDCOVID19Ag,frend  ag,nan,NanoEntek Inc.,nanoentek,Republic of Korea,,Republic of Korea,Test approved by one or more regulatory bodies,,,,False,False,False,False,False,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,,FREND COVID19 AG 20TKIT,FREND COVID19 AG,0.8205128205128205,1,75,287.0,,,0
510,510,9149,2021-01-05 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. SETIA GUNA MEDIKA,"TAMAN KEBON JERUK BLOK.AA IV NO.39-40 RT.003/007 MERUYA SELATAN, KEMBA",ID - Indonesia,.,.,.,.,NANOENTEK INC.,"12F, 5, DIGITAL-RO, 26-GIL, GURO-GU, SEOUL, KOREA,",South Korea,0.0,47880.96,USD,152.38,Kg.,433.0,Kg.,400.0,EA,FREND COVID-19 AG* (20T/KIT),24,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON,KOREAN AIR,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511,Indonesia 2021-version-13.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FREND AG 20TKIT,"['FREND', 'AG', '20TKIT']",['20TKIT'],['20TKIT'],,['20'],20.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,47880.96,400.0,8000.0,1.0825,0.054125,0.38095,0.0190475,119.7024,5.98512,"['BOX', 'BOX', 'BOX']",0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,BOX,0,3,FREND COVID19 AG 20TKIT,232,21.0,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,287.0,287,,FREND COVID-19 Ag,FRENDCOVID19Ag,frend  ag,nan,NanoEntek Inc.,nanoentek,Republic of Korea,,Republic of Korea,Test approved by one or more regulatory bodies,,,,False,False,False,False,False,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,,FREND COVID19 AG 20TKIT,FREND COVID19 AG,0.8205128205128205,1,100,287.0,,,0
511,511,9154,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,1079601.78,USD,4565.01,Kg.,9412.0,Kg.,9778.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,KOREAN AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,1079601.78,9778.0,9778.0,0.9625690325219881,0.9625690325219881,0.4668654121497239,0.4668654121497239,110.41130906115771,110.41130906115771,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,233,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
513,513,9157,2021-01-05 03:00:00,38220090,Lain-lain,PT. MACROCITRA ARDANASEJATI,RUKAN TAMAN MERUYA BLOK M-65 JAKARTA 11620 INDONESIA,ID - Indonesia,.,.,.,.,"HANGZHOU BIOTEST BIOTECH CO., LTD","17 FUTAI ROAD ZHONGTAI STREET,YUHANG DISTRICT HANG",China,0.0,557775.0,CNY,713.0,Kg.,713.0,Kg.,50000.0,PCE,RIGHTSIGN COVID-19 ANTIGEN RAPID TEST CASSETTE (NASOPHARYNGEAL SWAB),0,PK,0,0,0,0,SOEKARNO-HATTA (U),SHANGHAI PU DONG APT,GARUDA INDONESIA,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RIGHTSIGN ANTIGEN RAPID TEST CASSETTE NASOPHARYNGEAL SWAB,"['RIGHTSIGN', 'ANTIGEN', 'RAPID', 'TEST', 'CASSETTE', 'NASOPHARYNGEAL', 'SWAB']",[],[],,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,86294.7646875,50000.0,50000.0,0.01426,0.01426,0.01426,0.01426,1.72589529375,1.72589529375,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,4.0,PCE,3,0,RIGHTSIGN COVID19 ANTIGEN RAPID TEST CASSETTE NASOPHARYNGEAL SWAB,234,19.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,845.0,845,,BIOZEK Medical COVID-19 Antigen Rapid Test Cassette (Nasopharyngeal swab),,biozek medical  antigen rapid  cassette nasopharyngeal swab,nan,INZEK INTERNATIONAL TRADING,inzek international trading,,,,,US FDA EUA,,,True,False,False,False,False,,,,,,,,,,IDN0115,,,Yes,RIGHTSIGN COVID19 ANTIGEN RAPID TEST CASSETTE NASOPHARYNGEAL SWAB,BIOZEK MEDICAL COVID19 ANTIGEN RAPID TEST CASSETTE NASOPHARYNGEAL SWAB,0.8592592592592593,1,100,845.0,,,0
514,514,9161,2021-01-05 03:00:00,38220090,Lain-lain,PT. STANDARD BIOSENSOR INDONESIA,"L'AVENUE OFFICE TOWER LANTAI 21 UNIT C, JALAN RAYA PASAR MINGGU KAV16",ID - Indonesia,.,.,.,.,YAMA MEDICAL PRODUCTS,"57 UBI AVENUE 1,UBI CENTRE,07-07 SINGAPORE 408936",Singapore,0.0,122514.38,USD,506.19,Kg.,18696.0,Kg.,1083.0,PCE,STANDARD Q COVID-19 AG TEST BAIK/BARU,0,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,MALAYSIA AIRLINES,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD Q AG TEST BAIKBARU,"['STANDARD', 'Q', 'AG', 'TEST', 'BAIKBARU']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-01-05,1.0,7.19e-05,0.0097196,0.1547125,0.7704754,1.3583265,1.2271444,0.7583801,4.33e-05,122514.38,1083.0,1083.0,17.263157894736842,17.263157894736842,0.46739612188365653,0.46739612188365653,113.12500461680517,113.12500461680517,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,STANDARD Q COVID19 AG TEST BAIKBARU,235,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1047.0,1047,,STANDARD™ Q COVID-19 Ag TEST KIT,STANDARDQCOVID19AgTESTKIT,standard  ag,nan,"SD Biosensor, Inc-C-4&5 Floor, 16, Deogyeong-daero 1556beon-gil, Yeongtong-gu, Suwon-si, Gyeonggi-do, 16690, Republic of Korea",sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0059,,STANDARD Q COVID19 AG TEST BAIKBARU,STANDARD Q COVID19 AG TEST KIT,0.8615384615384616,1,25,1047.0,,,0
