no,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
1607,2021-11-12 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MRL CYBERTEC CORPORATION,"NO. 124 MALAKAS ST. CENTRAL DILIMAN,, QUEZON CITY",PH - Philippines,4410398,.,JULIE.DELACRUZ19@GMAIL.COM,.,LEPU INTERNATIONAL HOLDINGS CO LTD,,China,6250.0,6807.7,USD,37.5,Kg.,56.0,Kg.,0.0,,"2,500PCS NEW CORONA VIRUS (SARS-COV-2) N PROTEIN DETECTION KIT ( FLUORESCENCE IMMUNO CHROMATOGRAPHY)",4,PACKAGE,EXW,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,18,Philippines 2021-version9-tiers.csv
1617,2021-11-12 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",LABX CORP,.,PH - Philippines,.,.,.,.,CO DRAGON WELL TRANSPORATION LTD,,Hong Kong,500.0,730.0,USD,14.3,Kg.,14.3,Kg.,0.0,,500 BOX SARS-COV-2 ANTIGEN TEST KIT,2,PACKAGE,CFR,,,,PORT OF CLARK,,,,0,,,,,,,,,,,19,Philippines 2021-version9-tiers.csv
1701,2021-11-11 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",UC BIOSCIENCES INC.,"U-1904 THE ORIENT SQUARE F ORTIGAS JR RD ORTIGAS CENTER SAN ANTONIO, PASIG",PH - Philippines,7982408,.,UCBIOSCIENCES03@GMAIL.COM,.,HANGZHOU BIOTEST BIOTECH CO LTD,,China,65000.0,71626.5,USD,596.1,Kg.,660.0,Kg.,0.0,,"28 CARTONS OF COVID-19 ANTIGEN RAPID TEST CASSETTE (NASOPHARYNGEAL SWAB) QUANTITY 50,000 PCS",28,,CFR,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,20,Philippines 2021-version9-tiers.csv
1783,2021-11-11 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ECO APPLICATION SOLUTIONS PHILS INC,"3/F PAIR-PAGS CENTER,NAIA AVE,PASAY CITY,PASAY",PH - Philippines,.,.,.,.,"NANJING LIMING BIO-PRODUCTS CO., LTD. ",,China,10750.0,11797.5,USD,112.0,Kg.,121.0,Kg.,0.0,,LIMING STRONGSTEP SARS COV-2 ANTIGEN RAPID TEST 3002150050 (5000 PCS),9,PACKAGE,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,21,Philippines 2021-version9-tiers.csv
1907,2021-11-10 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,"8 BONIFACIO ST., POBLACION EAST SAN NICOLAS, PANGASINAN",PH - Philippines,0755733670,.,MUREXDIAGNOSTICS@YAHOO.COM,.,BODITECH MED INC,,South Korea,1295.0,1903.9,USD,98.45,Kg.,102.59,Kg.,0.0,,100PCS AFIAS COVID-19 AG 24T/BOX,8,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,22,Philippines 2021-version9-tiers.csv
1911,2021-11-10 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",CRESTLINE SCIENTIFIC CORP.,"2902 FINLANDIA COR. COPERNICO STS., SAN ISIDRO, MAKATI CITY",PH - Philippines,8875777,.,CREST2934@YAHOO.COM,.,MIDA SOLUTIONS LIMITED,,Hong Kong,1250.0,1475.0,USD,14.0,Kg.,14.0,Kg.,0.0,," """"Nantong Diagnos"""" Covid-19 Antigen test kit  2019-nCoV ",1,PACKAGE,DAP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,23,Philippines 2021-version9-tiers.csv
1929,2021-11-10 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SAFEGUARD DNA DIAGNOSTIC INC,.,PH - Philippines,.,.,.,.,IMPERIAL LIFE SCIENCES PVT LTD,,India,61075.0,65815.0,USD,700.0,Kg.,825.0,Kg.,0.0,,"50,000 TESTS BIOCREDIT COVID-19 AG,RAPID ANTIGEN TEST KITS WITH 20 TEST/KIT",63,,EXW,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,24,Philippines 2021-version9-tiers.csv
1935,2021-11-10 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ROCHE (PHILIPPINES) INC,"1804 AND 19TH FLR ONE GLOBAL PLACE BLDG., 5TH AVE. COR 25TH ST.BONIFAC, TAGUIG CITY",PH - Philippines,027187777,.,MINETTE.GREGORIO@ROCHE.COM,.,ROCHE DIAGNOSTICS CORP,,India,6564.6,7046.3,USD,14.04,Kg.,18.14,Kg.,0.0,,09211101190 KIT COBAS LIAT SARS-VOC-2/FLU,0,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,25,Philippines 2021-version9-tiers.csv
2132,2021-11-10 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ANITA PRODIGALIDAD,.,PH - Philippines,.,.,.,.,FRANCESCA PRODIGALIDAD,,United Kingdom,329.0,382.5,USD,6.68,Kg.,6.69,Kg.,0.0,,COVID HOME TEST KIT - 75PCS,0,,FOB,,,,PORT OF CLARK,,,,0,,,,,,,,,,,26,Philippines 2021-version9-tiers.csv
2170,2021-11-10 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ROCHE (PHILIPPINES) INC,"1804 AND 19TH FLR ONE GLOBAL PLACE BLDG., 5TH AVE. COR 25TH ST.BONIFAC, TAGUIG CITY",PH - Philippines,027187777,.,MINETTE.GREGORIO@ROCHE.COM,.,ROCHE DIAGNOSTICS CORP,,India,20788.1,22313.4,USD,44.47,Kg.,68.49,Kg.,0.0,,09211101190 KIT COBAS LIAT SARS-COV2/FLU,6,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,27,Philippines 2021-version9-tiers.csv
2225,2021-11-09 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",PHILIPPINE BLUE CROSS BIOTECH," 1505 STATE CENTER BLDG., 333 JUAN LUNA ST. BINONDO,, MANILA",PH - Philippines,6879999,.,ROSIMANGAN@YAHOO.COM,.,"DAAN GENE CO., LTD. OF SUN YAT",,China,5040.0,5398.9,USD,1.0,Kg.,2.0,Kg.,0.0,,"DETECTION KIT FOR 2019-nCoV (PCR Fluorescence) - 2,400 Pieces  (FOR RITM LABORATORY AND TEST EVALUATION)",1,,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,28,Philippines 2021-version9-tiers.csv
2270,2021-11-09 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MAN MEDICAL PHARMA AND DIAGNOSTICS,"31 APPLE ST. AIRPORT SUBD. PENGUE  RUYU TUGUEGARAO CITY, CAGAYAN",PH - Philippines,8069267,.,ALLAN@MEDTEK.COM.PH,.,OSANG HEALTHCARE CO. LTD,,South Korea,240000.0,248300.0,USD,283.5,Kg.,283.5,Kg.,0.0,," """"INFOPIA"""" GENE FINDER COVID-19 PLUS",5,PACKAGE,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,29,Philippines 2021-version9-tiers.csv
2300,2021-11-09 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",PHARMASTAR INTL TRADING CORPORATION,"LOT 10 BLK1 8 FELIPE PIKE ST GREEN VALLEY BAGONG ILOG, PASIG CITY",PH - Philippines,6617933,.,ANUEVO16@YAHOO.COM.PH,.,MAZUT INTERNATIONAL HK LIMITED,,Hong Kong,540.0,573.6,USD,14.95,Kg.,15.05,Kg.,0.0,,1 KIT OF Detection Kit for 2019 Novel Coronavirus  2019-nCoV  RNA  PCR-Fluorescence Probing,1,PACKAGE,CFR,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,30,Philippines 2021-version9-tiers.csv
2305,2021-11-09 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",MACARE MEDICALS INC.,"67 A LUNA STREET BRGY BAGUMBUHAY PROJECT 4, QUEZON CITY",PH - Philippines,9135902,.,ACCOUNTING@MACARE-MEDICALS.COM,.,CEPHEID AB,,Sweden,827838.0,873111.4,USD,2476.0,Kg.,2596.0,Kg.,0.0,,"XPRSARS-COV2-10 KIT,XPRESS,SARS-COV-2,10 TEST",12,PACKAGE,EXW,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,31,Philippines 2021-version9-tiers.csv
2376,2021-11-09 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,,South Korea,600000.0,658500.0,USD,3314.0,Kg.,3373.0,Kg.,0.0,,AF41FK11CFE COVID 19 AG D 25T NS SP V4 24M 41FK11 6000 EA,16,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,32,Philippines 2021-version9-tiers.csv
2387,2021-11-09 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",BIOREGEN EURO INC.,"4501 SINGIAN ST POBLACION, MAKATI CITY",PH - Philippines,7721279,.,INFO@BIOREGENEURO.COM,.,GUANGZHOU TIANCHENG MEDICAL,,China,1152.0,2175.1,USD,45.0,Kg.,49.0,Kg.,0.0,,DETECTION KIT FOR 2019 NCOV(PCR FLOURESCENCE) 192TEST KITS (DA0990)55*55*55CM,1,PACKAGE,CFR,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,33,Philippines 2021-version9-tiers.csv
2390,2021-11-09 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",PHILIPPINE BLUE CROSS BIOTECH," 1505 STATE CENTER BLDG., 333 JUAN LUNA ST. BINONDO,, MANILA",PH - Philippines,6879999,.,ROSIMANGAN@YAHOO.COM,.,"DAAN GENE CO., LTD. OF SUN YAT",,China,12720.0,13625.6,USD,37.0,Kg.,39.0,Kg.,0.0,,"DETECTION KIT FOR 2019 NOVEL CORONA VIRUS (2019-nCoV) RNA (PCR-Fluorescence Probing) - 5,088 Pieces ( for RITM LABORATORY AND TEST EVALUATION)",1,,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,34,Philippines 2021-version9-tiers.csv
2397,2021-11-09 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",VITALINE HEALTHCARE INC.,"UNIT 106 CORPORATE 101 BLDG NO 101 MOTHER IGNACIA ST BGY SOUTH TRIANGL, QUEZON CITY",PH - Philippines,3763171,.,CHRISTADENA@YAHOO.COM,.,BODITECH MED INC.,,South Korea,4500.0,7113.4,USD,411.23,Kg.,459.99,Kg.,0.0,,ICHROMA COVID-19 AG,25,PACKAGE,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,35,Philippines 2021-version9-tiers.csv
2417,2021-11-08 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MRL CYBERTEC CORPORATION,"NO. 124 MALAKAS ST. CENTRAL DILIMAN,, QUEZON CITY",PH - Philippines,4410398,.,JULIE.DELACRUZ19@GMAIL.COM,.,SHENZHEN LIFOTRONIC TECHNOLOGY CO LTD,,Hong Kong,1350.0,1724.8,USD,1.0,Kg.,4.0,Kg.,0.0,,10PCS SARS-COV-2 IGG ( ELECTROCHEMILUMINESCENCE IMMUNOASSAAY) 100T,1,,CIF,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,36,Philippines 2021-version9-tiers.csv
