NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,source_data_row,source_file_name
11,DHL LOGISTICS PVT. LTD,"8Th Floor,Leela Galleria,Andheri, Kurla Road,Andheri (E),, 400059","Mumbai,Maharashtra",+91 22 67370700,.,rodney.pereira@dhl.com,.,11,INDIA ALL 2021 HS 382200 JANUARY.xlsx
12,QIAGEN INDIA PRIVATE LIMITED,"Samyak Towers,39 Pusa Road,  Karol Bagh , 110005",New Delhi,.,.,.,.,12,INDIA ALL 2021 HS 382200 JANUARY.xlsx
13,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unıt No. 403, 4Th Floor, Leela  Busıness Park, Andherı Kurla Rd., , ","Andherı-East, Mumbaı, Maharashtra",.,.,.,.,13,INDIA ALL 2021 HS 382200 JANUARY.xlsx
14,PROMEGA BIOTECH INDIA PRIVATE LIMITED,"VASAIKAR HOUSE, 296, CADELL ROAD, DADAR WEST, ,",MUMBAI,.,.,.,.,14,INDIA ALL 2021 HS 382200 JANUARY.xlsx
15,SYNGENE INTERNATIONAL LIMITED,"20Th Km, Hosur Road,Electronıc Cıty P.O. , 560100",Bangalore,.,.,.,.,15,INDIA ALL 2021 HS 382200 JANUARY.xlsx
16,SUTRON HYDROMET SYSTEMS PRIVATE LIMITED,"D-193, 2ND FLOOR , OKHLA INDUSTRIALAREA PHASE-1",NEW DELHI,.,.,.,.,16,INDIA ALL 2021 HS 382200 JANUARY.xlsx
17,MATRIX LABORATORIES LTD,Building 4 Trident Place Mosquito Way Hatfield Hertfordshire AL10 9UL,"Hyderabad,Andhra Pradesh",+44 (0)1707 853000,+44 (0)1707 261803,.,www.mylan.com,17,INDIA ALL 2021 HS 382200 JANUARY.xlsx
18,S.P.ANALYTICAL.,"Room No.503, Mıchael Plaza,Plot No.106, Chembur West, Mumbaı.Mukund Ngr,Pl Lokhande Marg, , 400089","Mukund Ngr,Pl Lokhande Marg,",.,.,.,.,18,INDIA ALL 2021 HS 382200 JANUARY.xlsx
19,SYSMEX INDIA PVT. LTD.,"308,Ascot Centre,Sahar Airport Road, Next To Hotel Le Royal Mesridien,, 400099","Andheri[E],Mumbai",022-28224040/4050,.,.,.,19,INDIA ALL 2021 HS 382200 JANUARY.xlsx
20,INSTRUMENTATION LABORATORY INDIA PVT. LTD.,"2Nd Floor,C-60,C-Blo0Ck Community, Centre,Janakpuri,, 110058",New Delhi,01125510137,.,atulgoyal@il-india.com,.,20,INDIA ALL 2021 HS 382200 JANUARY.xlsx
21,BIOGENE INDIA,"C-3, 204, 2ND FLOOR,POOJA HOUSE,KARAMPURA COMMERCIAL COMPLEX,","NEW DELHI ,",.,.,.,.,21,INDIA ALL 2021 HS 382200 JANUARY.xlsx
22,"ALLIED SCIENTIFIC PRODUCTS.,","35, DURGAPURE LANE,",KOLKATA(W.B.),.,.,.,.,22,INDIA ALL 2021 HS 382200 JANUARY.xlsx
23,AGILENT TECHNOLOGIES INDIA PVT LTD,"TRIPATI PLAZA PLOT # 11, SECTOR-XI,2NDFLOOR, DWARKA,",NEW DELHI,.,.,.,.,23,INDIA ALL 2021 HS 382200 JANUARY.xlsx
24,BIOGENUIX MEDSYSTEMS PVT.LTD.,"412-B, 4TH FLOOR, JYOTI SHIKHAR,DISTRICT CENTRE, JANAKPURI,",NEW DELHI,.,.,.,.,24,INDIA ALL 2021 HS 382200 JANUARY.xlsx
25,POCT SERVICES PRIVATE LIMITED,"280/9, Blunt Square , ",Lucknow U.P.,.,.,.,.,25,INDIA ALL 2021 HS 382200 JANUARY.xlsx
26,BIO MERIEUX INDIA PVT.LTD.,"A-32, MOHAN CO-OPERATIVE INDUSTRIALAREA,",NEW DELHI,.,.,.,.,26,INDIA ALL 2021 HS 382200 JANUARY.xlsx
27,SECURE DIAGNOSTICS PRIVATE LIMITED.,"Jr. Mig-50, Shubhalay Block, Gokuld Ham, Gautam Nagar,Pin-462023","IN - Bhopal, Madhya Pradesh",919755477334,.,securediagnosticsindia@gmail.com,.,27,INDIA ALL 2021 HS 382200 JANUARY.xlsx
28,EVERON LIFE SCIENCES,.,India,.,.,.,.,28,INDIA ALL 2021 HS 382200 JANUARY.xlsx
29,"AVANTOR PERFORMANCE MATERIALS INDIA LTD.,","A-3, Okhla Industrıal Area,Phase-I, Okhla, , 110020",New Delhi,.,.,.,.,29,INDIA ALL 2021 HS 382200 JANUARY.xlsx
30,ALPINE BIOMEDICALS PRIVATE LIMITED,.,IN - India,.,.,.,.,30,INDIA ALL 2021 HS 382200 JANUARY.xlsx
31,"VWR LAB PRODUCTS PVT.LTD,","2Nd Floor,Front Wıng,135/12,Brıgade  Towers,Brıgade Road , 560025",Bangalore,.,.,.,.,31,INDIA ALL 2021 HS 382200 JANUARY.xlsx
32,ASPEN LABORATORIES PVT. LTD,"B-164, GUJRANWALA TOWN-I,",DELHI,.,.,.,.,32,INDIA ALL 2021 HS 382200 JANUARY.xlsx
33,MONARCH SCIENTIFIC,"Iv/1/52 1St Floor Above Tata, Indic Om Gopinath Bazar Delhi Cantt,Pin-110010","IN - New Delhi, Delhi",919810290425,.,rk4604538@gmail.com,.,33,INDIA ALL 2021 HS 382200 JANUARY.xlsx
34,BOEHRINGER INGELHEIM INDIA PVT. LTD.,"1102, Hallmark Business Plaza, 11th Floor, Gurunanak Hospital Road, Near Gurunanak Hospital, Bandra (East)",Mumbai,+91-22-71456477,+91-22-71456766,COMMScontact.IN@boehringer-ingelheim.com,www.cyendiv.com,34,INDIA ALL 2021 HS 382200 JANUARY.xlsx
35,LABEX CORPORATION,"FLAT NO-3022,SECTOR-A,POCKET-B&CVASANT KUNJ",NEW DELHI,.,.,.,.,35,INDIA ALL 2021 HS 382200 JANUARY.xlsx
36,NATIONAL INSTITUTE OF PLANT GENOME RESEARCH,.,India,.,.,.,.,36,INDIA ALL 2021 HS 382200 JANUARY.xlsx
37,SERUM INSTITUTE OF INDIA LIMITED,"212/2 Hadapsar, Off:Soli Poonawalla Road, 411028","Pune,Maharashtra",919823136112,.,exim_pg@vsnl.net,.,37,INDIA ALL 2021 HS 382200 JANUARY.xlsx
38,THERMO FISHER SCIENTIFIC INDIA PRIVATE LIMITED,"403-404, B Wing,Delphi, Hiranandani Business Park,Powai, 400072",IN - Mumbai,67162200 / 67162244,.,arvind.sonawane@thermofisher.com,www.corporate.thermofisher.com,38,INDIA ALL 2021 HS 382200 JANUARY.xlsx
39,JEEV DIAGNOSTICS PRIVATE LIMITED,"NO.9, 5TH FLOOR, GOKUL TOWER,  NO.9 & 10, C.P. RAMASAMY ROAD,  ALWARPET, CHENNAI, TAMILNADU.","ALWARPET, CHENNAI, TAMILNADU.",.,.,.,.,39,INDIA ALL 2021 HS 382200 JANUARY.xlsx
40,LABMATE (ASIA) PVT LTD,"Baıd Mehta Complex,C-Block,I Floor,183,Mount Road, , ",Chennai,.,.,.,.,40,INDIA ALL 2021 HS 382200 JANUARY.xlsx
41,BIO RAD LABORATORIES (INDIA) PVT.LTD.,"PLOTNOB&B-1 VANIJYA NIKUNJUDYOG VIHAR,PHASE.V",GURGAON,.,.,.,.,41,INDIA ALL 2021 HS 382200 JANUARY.xlsx
42,MEDOVATION INC,"N0 25,PRAVEEN MANSION,5TH MAIN ROADFLAT N0 10, 2ND FLOOR,","GANDINAGAR, BANGALORE",.,.,.,.,42,INDIA ALL 2021 HS 382200 JANUARY.xlsx
43,MYLAB DISCOVERY SOLUTIONS PRIVATE LIMITED,.,India,.,.,.,.,43,INDIA ALL 2021 HS 382200 JANUARY.xlsx
44,POCT SERVICES,"280/9,KHA BLUNT SQUAREBEHIND POST OFFICE",LUCKNOW UP,.,.,.,.,44,INDIA ALL 2021 HS 382200 JANUARY.xlsx
45,DHR HOLDING INDIA PRIVATE LIMITED,"608-609,6Ht Floor 18 Rattan Jyoti, Building Rajendra Place, 110008",New Delhi,011-42430038,.,.,.,45,INDIA ALL 2021 HS 382200 JANUARY.xlsx
46,"PADMANABHA LABS PRIVATE LIMITED,","48-C, SELVARAJAPURAM,CHINTHAMANIPUDUR(PO),",COIMBATORE/TAMILNADU.,.,.,.,.,46,INDIA ALL 2021 HS 382200 JANUARY.xlsx
47,"AXYGEN SCIENETIFIC PVT. LTD.,","72,The Mall,, , 173212",Solan (Hp),01792-222291,.,genaxy@vsnl.com,.,47,INDIA ALL 2021 HS 382200 JANUARY.xlsx
48,METASYSTEMS INDIA (BANGALORE) PRIVATE LIMITED,"NO.1/1, 2ND FLOOR, 1ST MAIN ROAD, 2ND CROSS, THIMMAIAH GARDEN, R T NAGAR",BANGALORE,.,.,.,.,48,INDIA ALL 2021 HS 382200 JANUARY.xlsx
49,DRAEGER SAFETY INDIA PRIVATE LIMITED,"A-220,   DEFENCE COLONY  ",NEW DELHI,.,.,.,.,49,INDIA ALL 2021 HS 382200 JANUARY.xlsx
50,"KDH BIOMEDICALS PVT LTD.,","601 EXCLUSIVE APARTMENT CO-OP. HSG.OPP. IIT MAIN GATE, POWAI",MUMBAI,.,.,.,.,50,INDIA ALL 2021 HS 382200 JANUARY.xlsx
51,LIFE TECHNOLOGIES (INDIA) PVT.LTD.,"306, AGGARWAL CITY MALL,OPP.M2KPITAMPURA",DELHI,.,.,.,.,51,INDIA ALL 2021 HS 382200 JANUARY.xlsx
52,"WATERS (INDIA) PRIVATE LIMITED,","BI,36-A, 2ND PHASE,PEENYA INDUSTRIAL AREA,","BANGALORE ,KARNATAKA",.,.,.,.,52,INDIA ALL 2021 HS 382200 JANUARY.xlsx
53,ATHENESE-DX PRIVATE LIMITED,"New No.10, Old No.26, Iı Floor  Ist Cross Street, Lake Area, , 600034","Nungamakkam, Chennaı / T.N.",.,.,.,.,53,INDIA ALL 2021 HS 382200 JANUARY.xlsx
54,FUTURIS HEALTHCARE LLP.,"A-2, 35,S.N. Nagar, Yarı Road,  Andherı-West, , ",Mumbai,.,.,.,.,54,INDIA ALL 2021 HS 382200 JANUARY.xlsx
55,PREMAS LIFE SCIENCES PRIVATE LIMITED,.,India,.,.,.,.,55,INDIA ALL 2021 HS 382200 JANUARY.xlsx
56,KRISHGEN BIOSYSTEMS,"135/137,Sonawala Bldg.,2Nd Floor,, Zaveri Bazar,, 400002","Mumbai,Maharashtra.",56372990,23415020,.,.,56,INDIA ALL 2021 HS 382200 JANUARY.xlsx
57,"LUNDBECK INDIA PVT LTD.,","No.Iind Floor,Esteem Regency, No.6/A,Richmond Road,, 560025","Bangalore,Karnataka",2126922/2126933,.,luind@lundbeck.com,.,57,INDIA ALL 2021 HS 382200 JANUARY.xlsx
58,NEUGEN DIAGNOSTICS INDIA PVT. LTD,"VIJAY PLAZA SECOND FLOORC-32,SECOND AVENUE,ANNA NAGAR","CHENNAI, TAMILNADU",.,.,.,.,58,INDIA ALL 2021 HS 382200 JANUARY.xlsx
59,IDEXX LABORATORIES PRIVATE LIMITED,.,IN - India,.,.,.,.,59,INDIA ALL 2021 HS 382200 JANUARY.xlsx
60,DIATEK HEALTHCARE PRIVATE LIMITED,"P- 27,KALINDI HOUSING SCHEME ","KOLKATA, W.B.",.,.,.,.,60,INDIA ALL 2021 HS 382200 JANUARY.xlsx
61,QUINTILES RESEARCH (INDIA) P LTD,"2B,Nıtesh Broadway,9/3,M.G.Road, , 560001",Bangalore,.,.,.,.,61,INDIA ALL 2021 HS 382200 JANUARY.xlsx
62,BIOGENIX INC PRIVATE LIMITED.,.,IN - India,.,.,.,.,62,INDIA ALL 2021 HS 382200 JANUARY.xlsx
63,BLISS GVS PHARMA LTD.,"102,Hyde Park,Sakivihar Road, Andheri(E), 400075",Mumbai,28505387/08503870,.,info@blissgvspharma.com,.,63,INDIA ALL 2021 HS 382200 JANUARY.xlsx
64,PERKIN ELMER (INDIA) PVT. LTD.,"Unit No.3,8Th Floor,B Wing,Trade, Star,Opp.Lotus Suites,J.B.Nagar,, 400059","Andheri,Maharashtra.",9102225334645,91-02225335940,bhaleraosq@labindia.com,.,64,INDIA ALL 2021 HS 382200 JANUARY.xlsx
65,TATA MEMORIAL CENTRE,"Dr.Ernest Borges Road,Parel, , ",Mumbai,.,.,.,.,65,INDIA ALL 2021 HS 382200 JANUARY.xlsx
66,PATHNSITU BIOTECHNOLOGIES PVT LTD,"D.No.3-14-54, Shaılajapurı Colony, Mansoorabad, , 500049",Hyderabad,.,.,.,.,66,INDIA ALL 2021 HS 382200 JANUARY.xlsx
67,SCIENTIFIC PRODUCTS (INDIA) PVT.LTD.,"403 - 404,B Wing,Delphi, Hiranandan Business Park Powai, 400076",Mumbai Maharashtra,022-67162236,.,uday.dixit@thermafisher.com,.,67,INDIA ALL 2021 HS 382200 JANUARY.xlsx
68,ARK DIAGNOSTIC SYSTEM PVT LTD,"A 11, Gırıraj Industrıal Estate, Mahakalı Caves Rd.,Andherı East , ",Mumbai,.,.,.,.,68,INDIA ALL 2021 HS 382200 JANUARY.xlsx
69,BIOLINKK,"1160/8, FIRST FLOOR,NAIWALA, KAROL BAGH,",NEW DELHI,.,.,.,.,69,INDIA ALL 2021 HS 382200 JANUARY.xlsx
70,CEPHEID INDIA PRIVATE LIMITED,"573, 3Rd Floor, Maın Road,  Chıragh Delhı, , 201301",New Delhi,.,.,.,.,70,INDIA ALL 2021 HS 382200 JANUARY.xlsx
71,GENEXPLORE DIAGNOSTICS AND RESEARCH CENTER PVT LTD,"402/4Th Floor, Kush Complex, Naranp Ura Char Rasta, Naranpura, 380013","Ahmedabad, Gujarat",919824999084,.,info@genexplore.co.in,www.genexplore.co.in,71,INDIA ALL 2021 HS 382200 JANUARY.xlsx
72,LILAC MEDICARE PVT. LTD.,"303/8, SUNGOLD STER-E-PUNJAB ,MAHAKALI CAVES ROAD,","ANDHERI EAST, MUMBAI ,MAHARASHTRA",.,.,.,.,72,INDIA ALL 2021 HS 382200 JANUARY.xlsx
73,ROSALINA INSTRUMENTS,"B-16,SHIVAJI NAGAR,S.L.MARG,SEWRI","MUMBAI ,MAHARASHTRA",.,.,.,.,73,INDIA ALL 2021 HS 382200 JANUARY.xlsx
74,ACCUREX BIOMEDICAL PVT. LTD.,"212,Udyog Mandir No.1,7/C,, Bhagoji Keer Marg,Mahim,, 400016","Mumbai,Maharashtra",4468111/4449103/4442,4450176,accurex@vsnl.com,.,74,INDIA ALL 2021 HS 382200 JANUARY.xlsx
75,ANUH PHARMA LTD.,"3-A,Shiv Sagar Estate,North Wing,, Dr.Annie Besant Road,Worli,, 400018","Bombay,Maharashtra",3648882,.,anuh@skageexports.com,.,75,INDIA ALL 2021 HS 382200 JANUARY.xlsx
76,IMMUCOR INDIA PRIVATE LIMITED,"A-49(FIEE), OKHLA INDUSRIAL AREA  PHASE-II",NEW DELHI,.,.,.,.,76,INDIA ALL 2021 HS 382200 JANUARY.xlsx
77,LABINDIA INSTRUMENTS PVT. LTD.,"201 Nand Chambers, Near Vandana Cinema,L B S Marg,, 400602","Panc,Thane,,Maharashtra",5335389/5335940,.,karandikaraa@labindia.com,.,77,INDIA ALL 2021 HS 382200 JANUARY.xlsx
78,P. R. CORPORATION.,"6, ANNAPURNA MANDIR,489, ADENWALA RD., MATUNGA C.R.,","MUMBAI, MAHARASHTRA",.,.,.,.,78,INDIA ALL 2021 HS 382200 JANUARY.xlsx
79,EBIOTECH INC,"Flat No-3 Kıng Apt Plot  No 150 Devlı , ",New Delhi,.,.,.,.,79,INDIA ALL 2021 HS 382200 JANUARY.xlsx
80,TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE,.,India,.,.,.,.,80,INDIA ALL 2021 HS 382200 JANUARY.xlsx
81,BI BIOTECH INDIA PRIVATE LIMITED,"B. 29/10 , NANDIGRAMLANKA",VARANASI,.,.,.,.,81,INDIA ALL 2021 HS 382200 JANUARY.xlsx
82,HEMOGENOMICS PVT LTD,"KEMWELL HOUSENO.11,TUMKUR ROAD, YESHWANTHPUR",BANGALORE / KARNATAKA,.,.,.,.,82,INDIA ALL 2021 HS 382200 JANUARY.xlsx
83,SKYTECH SYSTEMS (INDIA) PVT.LTD.,"106 & 108 HAMILTON B WING,HIRANANDANI BUSINESS PARK,OFF.","GHODBUNDER RD,THANE-W,MAHARASHTRA",.,.,.,.,83,INDIA ALL 2021 HS 382200 JANUARY.xlsx
84,TRIDENT EQUIPMENTS PVT.LTD.,"F-409/410,Kailash Indl Complex,, Park Site,Vikhroli-West, 400079","Mumbai,Maharashtra",022 25181706/5463,.,triequip@vsnl.com,.,84,INDIA ALL 2021 HS 382200 JANUARY.xlsx
85,TULIP DIAGNOSTICS(P)LTD.,"Gitanjali,Tulip Block,Alto, Santacruz,Dr.Antonio Do Rego Bagh, 403202",Goa India.,2458546,.,tulipvrn@sancharnet.in,.,85,INDIA ALL 2021 HS 382200 JANUARY.xlsx
86,ORION SCIENTIFIC SUPPLIERS PVT.LTD,"219,Veena Ind Estate,Lbs Marg, Vikhroli(W), 400083","Mumbai,Maharashtra",25785505-25792804,.,orionsci@vsnl.net,.,86,INDIA ALL 2021 HS 382200 JANUARY.xlsx
87,HUMOLE DIAGNOSTICS PRIVATE LIMITED,.,IN - India,.,.,.,.,87,INDIA ALL 2021 HS 382200 JANUARY.xlsx
88,DEEKSHA ANALYTICAL PRIVATE LIMITED.,.,IN - India,.,.,.,.,88,INDIA ALL 2021 HS 382200 JANUARY.xlsx
89,NUCLEUS DIAGNOSYS LLP.,.,IN - India,.,.,.,.,89,INDIA ALL 2021 HS 382200 JANUARY.xlsx
90,BECKMAN COULTER INDIA PVT. LTD.,"Soiltaire Corporate Park,3Rd Floor,, Bldg 11,Andheri Ghatkopar Link Road, 400093","Chakala,Andheri[E]Mumbai.",5668 7019/5668 7018,.,schandrashekar@beckman.com,.,90,INDIA ALL 2021 HS 382200 JANUARY.xlsx
91,CHEMICAL CENTRE.,"Bhavani Bhuvan,18/20,, Popatwadi,Kalbadevi,, 400002","Mumbai,Maharashtra",22031616,22084559,ccmumbai@hotmail.com,.,91,INDIA ALL 2021 HS 382200 JANUARY.xlsx
92,COMPACT DIAGNOSTICS INDIA PVT LTD,"WZ-12B, ASALAT PUR,JANAK PURI,","NEW DELHI ,",.,.,.,.,92,INDIA ALL 2021 HS 382200 JANUARY.xlsx
93,"EVEREST INSTRUMENTS PVT. LTD.,","Nr. Chandan Park, Statıon Road, , 384315",Vısnagar   North Gujarat,.,.,.,.,93,INDIA ALL 2021 HS 382200 JANUARY.xlsx
94,TTP TECHNOLOGIES PRIVATE LIMITED,"No.486/D,13Th Cross,4Th Phase,, Peenya Industrial Area,, 560058",Bangalore/Karnataka,+91 80 8394304,.,ttpoompp@blr.vsnl.net.in,.,94,INDIA ALL 2021 HS 382200 JANUARY.xlsx
95,MEDGENOME LABS PRIVATE LIMITED,"No.55, 1St Floor, 1St Kamaraj Avenue, Kasthurbaı Nagar, Adyar , ",Chennai,.,.,.,.,95,INDIA ALL 2021 HS 382200 JANUARY.xlsx
96,KAMDHENU ANALYTICS AND LIFESCIENCES,.,IN - India,.,.,.,.,96,INDIA ALL 2021 HS 382200 JANUARY.xlsx
97,AGAPPE DIAGNOSTICS LIMITED,"212/213, VORA PLAZA, B-WING,NAVGHAR, VASAI (EAST)","DIST. THANE, MAHARASHTRA",.,.,.,.,97,INDIA ALL 2021 HS 382200 JANUARY.xlsx
98,APPLIED BIOSCIENCE CONSULTANTS & DISTRIBUTORS,"A-603, GULAB JALVAYU VIHAR,PLOT NO.20,SECTOR-20,KHARGHAR,","NAVI MUMBAI, MAHARASHTRA.",.,.,.,.,98,INDIA ALL 2021 HS 382200 JANUARY.xlsx
99,BIOCHEM LIFE SCIENCES,"30/4-A, DOUBLE STOREYS 3RD FLOOR,ASHOK NAGAR NEAR TILAK NAGAR MATRO",STATION NEW DELHI,.,.,.,.,99,INDIA ALL 2021 HS 382200 JANUARY.xlsx
100,BIOIMAGING REQUISITES,"N0. 1461, 23RD MAIN ROAD,BANASHANKARI II STAGE,",BANGALORE,.,.,.,.,100,INDIA ALL 2021 HS 382200 JANUARY.xlsx
101,OPTIMUS DRUGS PRIVATE LIMITED,"PLOT NO.131,3RD FLOOR,NARMADAARCADE,SNEHAPURI COLONY,NACHARAM,",HYDERABAD. AP,.,.,.,.,101,INDIA ALL 2021 HS 382200 JANUARY.xlsx
102,RAPID DIAGNOSTIC PVT.LTD.,"B-159, Gujranwala Town-I, 110009",Delhi,.,.,.,.,102,INDIA ALL 2021 HS 382200 JANUARY.xlsx
103,SAI ADVANTIUM PHARMA LIMITED,"Luxor Parkno.No.8-2-120/86/9/B, Opp, L.V.Prasad Eye Institute,Rd.No.2, 500033",Banjara Hills Hyderabad,040-66777555/6657783,.,srinivasa.r@saiadvantium.com,.,103,INDIA ALL 2021 HS 382200 JANUARY.xlsx
104,JAY SCIENTIFIC COMAPANY,"Heena Smruti,N.S.Road No.2,, J.V.P.D.Scheme,Vile Parle (W) Mumb, 400056",Maharashtra,2010146,.,.,.,104,INDIA ALL 2021 HS 382200 JANUARY.xlsx
105,EDIF MEDICAL SYSTEMS,"E-77/1, 2ND FLOOR ABUL FAZAL ENCLAVE, JANIA NAGAR OKHLA, NEW DELHI ","OKHLA, NEW DELHI",.,.,.,.,105,INDIA ALL 2021 HS 382200 JANUARY.xlsx
106,KINEDEX BIOMEDICALS PRIVATE LIMITED,"Offıce No. B-406 & 407, Mahaavır  Icon, Plot No. 89, Sector-15, Cbd , 400072","Belapur, Navı Mumbaı, Maharashtra",.,.,.,.,106,INDIA ALL 2021 HS 382200 JANUARY.xlsx
107,BHARATI CHEMICAL AND SCIENTIFIC WORKS.,"3A, Surendra Mohan Ghosh Saranı  (Mango Lane )Ground Floor. , ",Kolkata,.,.,.,.,107,INDIA ALL 2021 HS 382200 JANUARY.xlsx
108,HELINI BIOMOLECULES,"Ohmlına, P.No.26, 2Nd Avenue, Kutbıcomplex, Vettuvankenı, Injambakkam, , 600041","Chennaı,Taml Nadu.",.,.,.,.,108,INDIA ALL 2021 HS 382200 JANUARY.xlsx
109,"AURIGENE DISCOVERY TECHNOLOGIES LTD,","NO.10/1, THIRD MAIN, 2ND FLOOR,HANUMANTHANAGAR,","BANGALORE, KARNATAKA",.,.,.,.,109,INDIA ALL 2021 HS 382200 JANUARY.xlsx
110,"BIOCON LIMITED,","20TH K M, HOSUR ROAD,ELECTRONIC CITY P.O,",BANGALORE,.,.,.,.,110,INDIA ALL 2021 HS 382200 JANUARY.xlsx
111,DIAGNOSTIC BIOSYSTEMS (INDIA ),"306, Guru Ram Dass Bhawan  Ranjıt Nagar, Comm. Complex , 110008",New Delhi,.,.,.,.,111,INDIA ALL 2021 HS 382200 JANUARY.xlsx
112,HORIBA INDIA PVT.LTD.,"Plot No.246,Okhla Industial Estate, Phase-Iii.,, 110020",New Delhi,91-11-46695001/5002,.,.,.,112,INDIA ALL 2021 HS 382200 JANUARY.xlsx
113,RANDOX LABORATORIES INDIA PRIVATE LIMITED,"3Rd Flr.,Godrej Colıseum,Somaıyahospıtal Road, Off Eastern Express , 400022","Hıghway,Sıon E,Mumbaı, Maharashtra",.,.,.,.,113,INDIA ALL 2021 HS 382200 JANUARY.xlsx
114,TRIVITRON HEALTHCARE PRIVATE LIMITED,"No.15,4Th Street,Abhıramapuram, , 600018",Chennai,.,.,.,.,114,INDIA ALL 2021 HS 382200 JANUARY.xlsx
115,ADT INDIA PVT LTD.,F 16 B MIG DDA FLATS HARI NAGAR,DELHI,.,.,.,.,115,INDIA ALL 2021 HS 382200 JANUARY.xlsx
116,NATIONAL INSTITUTE OF MENTAL HEALTH &,"NEURO-SCIENCES, POST BAG NO.2900",BANGALORE,.,.,.,.,116,INDIA ALL 2021 HS 382200 JANUARY.xlsx
117,MEDICAL ELECTRONIC SYSTEMS (INDIA) PRIVATE LIMITED,"Plot No. 2797, New No. 2, Y Block,  6Th St, 12Th Maın Road, Annanagar , ",Chennai,.,.,.,.,117,INDIA ALL 2021 HS 382200 JANUARY.xlsx
118,ACCUTEST RESEARCH LABORATORIES (I) PVT. LTD.,"A-31,Midc,Ttc,Industrial Area,, Khairane,, 400709","Navi Mumbai,Maharashtra.",7631718,7631721,accutest@vsnl.in,.,118,INDIA ALL 2021 HS 382200 JANUARY.xlsx
119,ANTON PAAR INDIA (P) LTD.,"3269, Ranjıt Nagar , 110008",New Delhi,.,.,.,.,119,INDIA ALL 2021 HS 382200 JANUARY.xlsx
120,C.ABHAYKUMAR & CO.,"127,S.Gandhi Marg,, Princess Street,Gopal Nivas, 400002","Mumbai,Maharashtra",22083697/22004479,22085189,caco2@hathway.com,.,120,INDIA ALL 2021 HS 382200 JANUARY.xlsx
121,INDIAN IMMUNOLOGICALS LTD.,"Road.No.44,Jubilee Hills, , 500033",Hyderabad,"3544585,3544593",.,raksha@hd1.vsnl.net.in,.,121,INDIA ALL 2021 HS 382200 JANUARY.xlsx
