paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
251,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHOHAN & COMPANY.,21 Bahadurabad Block 03 Karachi,PK - Pakistan,.,.,.,.,"HANGZHOU ALLTEST BIOTECH CO.,LTD",,China,15086.0,0.0,USD,0.0,,0.0,,38.0,KG,"1 COVID 19 ANTIGEN RAPID TEST, ORIGIN FRANCE, APPROX NET WT 947 KGS,",0.0,,,,,,KAPE,,,,0.0,,,,,,,,,,,11,Pakistan Trade Atlas All 2021 HS 382200.csv
271,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,BOLLORE LOGISTICS USA INC,,United States,87026.1,0.0,USD,0.0,,0.0,,210.0,KG,DIAGNOSTIC TEST KITID NOW COVID19 24T OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,12,Pakistan Trade Atlas All 2021 HS 382200.csv
468,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,990.45,0.0,USD,0.0,,0.0,,5.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 5 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,13,Pakistan Trade Atlas All 2021 HS 382200.csv
569,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,118.24,0.0,USD,0.0,,0.0,,4.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 4 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,14,Pakistan Trade Atlas All 2021 HS 382200.csv
667,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,198.09,0.0,USD,0.0,,0.0,,1.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 1 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22 EXEMPTION OF SRO 844 1007 AND 12B SERIAL  10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,15,Pakistan Trade Atlas All 2021 HS 382200.csv
670,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PHARMAKON INTERNATIONAL ENTERPRISES.,Rawalpindi,PK - Pakistan,.,.,.,.,GENEREACH BIOTECHNOLOGY CORPORATION,,Taiwan,13704.0,0.0,USD,0.0,,0.0,,7.6,KG,SARSCOV2 DIAGNOSTIC KITS FOR DETECTION OF CORONA VIRUS DETAIL IS AS UNDER POCKIT CENTRAL SARS COV2 PPRMIX PCR REAGENT   24 TEST KIT  LOT NO . 1213112  EXP 2722023  BRAN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,16,Pakistan Trade Atlas All 2021 HS 382200.csv
712,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IDS IMMUNODIAGNOSTIC SYSTEMS LTD,,United Kingdom,47350.26,0.0,USD,0.0,,0.0,,340.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME IDS IMMUNODIAGNOSTIC  ORIGIN UNITED KINGDOM TEMPERATURE CONTROL PACKED IN DRYICE1   IDS TGS SARSCOV2 PCR TEST LOT 56605 MFG DATE 2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,17,Pakistan Trade Atlas All 2021 HS 382200.csv
714,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,DIESSE DIAGNOSTICA SENESE SPA,,Italy,17737.78,0.0,USD,0.0,,0.0,,255.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME DIESSE CHORUS DIAGNOSTICA  ORIGIN ITALY TEMPERATURE CONTROL PACKED IN DRYICE1   CHORUS SARSCoV2 IgM PCR TEST KITS LOT NO 81452 MFG,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,18,Pakistan Trade Atlas All 2021 HS 382200.csv
719,25-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,39846.16,0.0,USD,0.0,,0.0,,1.0,KG,SARSCoV2 PCR TEST KITS BRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,19,Pakistan Trade Atlas All 2021 HS 382200.csv
721,24-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",NATIONAL TB CONTROL PROGRAM (NTP),"Park Road F Block, Epi Building, Nih 11111 Islamabad Peshawar Pakistan",PK - Pakistan,.,.,.,.,CEPHEID HBDC SAS,,Netherlands,376939.0,0.0,USD,0.0,,0.0,,2500.0,KG,"XPRSARS VOV210 KIT XPRESS,SARSCOV2,10 TEST",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,20,Pakistan Trade Atlas All 2021 HS 382200.csv
797,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS CORP,,United States,259600.0,0.0,USD,0.0,,0.0,,50.0,KG,KIT COBAS 68008800 SARSCOV2 480T QTY 50 PCS BATCH NO H25151 MFG DT 18.10.21 EXP DT 30.9.22 EXEMPTION OF SRO 844  1007 I.T SERIAL 12B SERIAL 10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,21,Pakistan Trade Atlas All 2021 HS 382200.csv
818,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBEL MARKETING SERVICES.,111 Hali Road Westridge I 45000 Rawalpindi Cannt Pakistan,PK - Pakistan,.,.,.,.,VI SOLE FZC,,France,39999.99,0.0,USD,0.0,,0.0,,68.0,KG,SARS COV2 KITS XPERT XPRESS SARSCOV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,22,Pakistan Trade Atlas All 2021 HS 382200.csv
932,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHEMICAL HOUSE.,Lahore,PK - Pakistan,.,.,.,.,BIO RAD ABD SEROTE LTD,,United States,1778.98,0.0,USD,0.0,,0.0,,1.0,KG,Diagnostic Reagent SARS CoV2 Corinavirus Elisa Test Kits,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,23,Pakistan Trade Atlas All 2021 HS 382200.csv
959,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,720500.0,0.0,USD,0.0,,0.0,,1100.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V7 500RXNBOX QTY 1100 KIT,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,24,Pakistan Trade Atlas All 2021 HS 382200.csv
997,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PROMED SOLUTIONS PVT LTD,.,PK - Pakistan,.,.,.,.,COMECER S.P.A,,Italy,200.0,0.0,USD,0.0,,0.0,,200.0,KG,KIT CLIO Disposable Kit for  CLIO X BTUSARE LOTTO FC00768  FOR MEDICAL USE SAMPLE SHIPMENT DV ALREADY HIGH,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,25,Pakistan Trade Atlas All 2021 HS 382200.csv
1037,21-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",SHAWN ENTERPRIES,Address: Shop No 93 Mz Land Mark Plaza Gulberg Gulberg Town Lahore,PK - Pakistan,.,.,.,.,FOREGENE CO LTD,,China,450.0,0.0,USD,0.0,,0.0,,45.0,KG,1.SARSCOVID2 NUCLEIC ACID DETECTION PCR KIT MULTIPLEX FLUORESCENT PROBE METHOD REF NOSC01012 LOT NO211101 MFG DATE18112021 EXP DATE17112022 96 TEST PER KIT ORIGIN CHINA,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,26,Pakistan Trade Atlas All 2021 HS 382200.csv
1051,21-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",AL QAZI MARKETING GROUP,.,PK - Pakistan,.,.,.,.,ZHEJIANG ORIENT GENE BIOTECH C,,China,435.0,0.0,USD,0.0,,0.0,,40.0,KG,SARSPCR KITS DETAIL AS UNDER 01. SARSCOV2 PCR DETECTION KIT  DIRECT FLUORESCENCE PCR   REF NO ACOV01   LOT NO AG211204   MFG 20211212   EXPIRY   20221211   ORIGIN CHIN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,27,Pakistan Trade Atlas All 2021 HS 382200.csv
1091,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,126.1,0.0,USD,0.0,,0.0,,2.0,KG,ALNTY  SARSCOV2    IGM   CONTROL   OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,28,Pakistan Trade Atlas All 2021 HS 382200.csv
1131,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,40.4,0.0,USD,0.0,,0.0,,1.0,KG,ALINITY SARSCOV2  IGG  CALIBRATOR  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,29,Pakistan Trade Atlas All 2021 HS 382200.csv
1173,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,2527.0,0.0,USD,0.0,,0.0,,50.0,KG,ARC SARSC0V2   IGM  100T  OUSECLIA KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,30,Pakistan Trade Atlas All 2021 HS 382200.csv
1188,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,26235.56,0.0,USD,0.0,,0.0,,52.0,KG,ALINITY SARSCOV2  IGG   200T  OUS ECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,31,Pakistan Trade Atlas All 2021 HS 382200.csv
1213,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,189.03,0.0,USD,0.0,,0.0,,3.0,KG,ARC SARSCOVID2   CONTROL  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,32,Pakistan Trade Atlas All 2021 HS 382200.csv
1235,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,29.56,0.0,USD,0.0,,0.0,,1.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 1 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,33,Pakistan Trade Atlas All 2021 HS 382200.csv
1287,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MOLECULAR BIOLOGY PRODUCTS.,Karachi,PK - Pakistan,.,.,.,.,MOLECULAR BIOLOGY PRODUCTS INC.,,Canada,1180.9,0.0,USD,0.0,,0.0,,7.0,KG,DNA  RNA SHIED VTM FOR  COVID PCR KIT QTY7.00 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,34,Pakistan Trade Atlas All 2021 HS 382200.csv
1291,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,234.73,0.0,USD,0.0,,0.0,,1.0,KG,ARC SARS  COV2  IGGII  QUANT  CALIBRATOR   Standard or calibrator,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,35,Pakistan Trade Atlas All 2021 HS 382200.csv
1321,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MUSAJI ADAM & SONS,"1-Humair Centre, Hormusji Street, Gari Khata",Karachi,+92 2132626250,+92 2132626251,,www.science-ware.com,--,,China,658.0,0.0,USD,0.0,,0.0,,1.0,KG,FREEZEDRIED NOVEL CORONAVIRUS COVID19 NUCLEIC ACID DETECTION KITFLUORESCENCE PCR METHOD,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,36,Pakistan Trade Atlas All 2021 HS 382200.csv
1328,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,1520.14,0.0,USD,0.0,,0.0,,2.0,KG,ANTISARSCO2 S ELECSYS COBAS E 200 QTY 2 PCS BATCH NO 57270701 MFG DT 2.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,37,Pakistan Trade Atlas All 2021 HS 382200.csv
1349,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,25226.0,0.0,USD,0.0,,0.0,,100.0,KG,ARC  SARSCOVID2  IGG  100T  OUS ECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,38,Pakistan Trade Atlas All 2021 HS 382200.csv
1365,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,35.74,0.0,USD,0.0,,0.0,,1.0,KG,ANTISARSCOV2 PC ELECSYS QTY 1 PCS BATCH NO 59309201 MFG DT 4.11.21 EXP DT 28.2.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,39,Pakistan Trade Atlas All 2021 HS 382200.csv
1421,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,112.6,0.0,USD,0.0,,0.0,,1.0,KG,ARC SARSCOVID2   CONTROL  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,40,Pakistan Trade Atlas All 2021 HS 382200.csv
