,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Score,Top P Match UIDs,Matching P Tags,Top P Score Reports,Top M Match Score,Top M Match UIDs,Matching M Tags,Top M Score Reports,Top Agg Match (P*M),Top Agg Match UIDs
10,10,251,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHOHAN & COMPANY.,21 Bahadurabad Block 03 Karachi,PK - Pakistan,.,.,.,.,"HANGZHOU ALLTEST BIOTECH CO.,LTD",,China,15086.0,0.0,USD,0.0,,0.0,,38.0,KG,"1 COVID 19 ANTIGEN RAPID TEST, ORIGIN FRANCE, APPROX NET WT 947 KGS,",0.0,,,,,,KAPE,,,,0.0,,,,,,,,,,,11,Pakistan Trade Atlas All 2021 HS 382200.csv,9,700 | 339 | 866 | 355,"rapid,19,antigen | rapid,19,antigen | rapid,19,antigen | rapid,19,antigen","{'rapid': 4, 'antigen': 4, '19': '1ea'} | {'rapid': 4, 'antigen': 4, '19': '1ea'} | {'rapid': 4, 'antigen': 4, '19': '1ea'} | {'rapid': 4, 'antigen': 4, '19': '1ea'}",3.0,190 | 180 | 181 | 182 | 617 | 176 | 177 | 178 | 623 | 861 | 151 | 599 | 221 | 317,"biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest | biotech,hangzhou,alltest", |  |  |  |  |  |  |  |  |  |  |  |  | ,24.0,180 | 181 | 182 | 617 | 176 | 177 | 178 | 623 | 151 | 599 | 221
11,11,271,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,BOLLORE LOGISTICS USA INC,,United States,87026.1,0.0,USD,0.0,,0.0,,210.0,KG,DIAGNOSTIC TEST KITID NOW COVID19 24T OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,12,Pakistan Trade Atlas All 2021 HS 382200.csv,1,330 | 951 | 31 | 839 | 1338 | 1346 | 857 | 1354 | 1098 | 848 | 1394 | 653 | 879 | 871 | 874 | 886 | 880 | 875 | 939 | 447 | 917 | 950 | 1412 | 1050 | 241 | 240 | 239 | 250,now | now | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic | diagnostic,{'now': '1ea'} | {'now': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'} | {'diagnostic': '1ea'},0.5,1214 | 127,usa | usa, | ,0.3333333333333333,240
12,12,468,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,990.45,0.0,USD,0.0,,0.0,,5.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 5 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,13,Pakistan Trade Atlas All 2021 HS 382200.csv,2,809 | 1105,"liat,cobas | liat,cobas","{'liat,cobas': '1ea'} | {'liat,cobas': '1ea'}",3.0,893 | 911 | 914,"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche", |  | ,2.0,131 | 132 | 133
13,13,569,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,118.24,0.0,USD,0.0,,0.0,,4.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 4 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,14,Pakistan Trade Atlas All 2021 HS 382200.csv,21,914,"elecsys,s","{'elecsys': 20, 's': '1ea'}",3.0,893 | 911 | 914,"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche", |  | ,63.0,914
14,14,667,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,198.09,0.0,USD,0.0,,0.0,,1.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 1 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22 EXEMPTION OF SRO 844 1007 AND 12B SERIAL  10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,15,Pakistan Trade Atlas All 2021 HS 382200.csv,2,809 | 1105,"liat,cobas | liat,cobas","{'liat,cobas': '1ea'} | {'liat,cobas': '1ea'}",3.0,893 | 911 | 914,"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche", |  | ,2.0,131 | 132 | 133
15,15,670,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PHARMAKON INTERNATIONAL ENTERPRISES.,Rawalpindi,PK - Pakistan,.,.,.,.,GENEREACH BIOTECHNOLOGY CORPORATION,,Taiwan,13704.0,0.0,USD,0.0,,0.0,,7.6,KG,SARSCOV2 DIAGNOSTIC KITS FOR DETECTION OF CORONA VIRUS DETAIL IS AS UNDER POCKIT CENTRAL SARS COV2 PPRMIX PCR REAGENT   24 TEST KIT  LOT NO . 1213112  EXP 2722023  BRAN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,16,Pakistan Trade Atlas All 2021 HS 382200.csv,5,1011 | 1010 | 385 | 917 | 950,"detection,reagent | detection,reagent | detection,reagent | reagent,diagnostic | reagent,diagnostic","{'reagent': 4, 'detection': 1, '': '1ea'} | {'reagent': 4, 'detection': 1, '': '1ea'} | {'reagent': 4, 'detection': 1, '': '1ea'} | {'reagent': 4, 'diagnostic': '1ea'} | {'reagent': 4, 'diagnostic': '1ea'}",1.2857142857142858,1316,"genereach,biotechnology,corporation",,2.0,322
16,16,712,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IDS IMMUNODIAGNOSTIC SYSTEMS LTD,,United Kingdom,47350.26,0.0,USD,0.0,,0.0,,340.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME IDS IMMUNODIAGNOSTIC  ORIGIN UNITED KINGDOM TEMPERATURE CONTROL PACKED IN DRYICE1   IDS TGS SARSCOV2 PCR TEST LOT 56605 MFG DATE 2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,17,Pakistan Trade Atlas All 2021 HS 382200.csv,2,1417,"pcr,in","{'pcr,in': '1ea'}",0.3333333333333333,1007 | 913 | 973 | 474 | 972 | 809 | 811,systems | systems | systems | systems | systems | systems | systems, |  |  |  |  |  | ,0.0,
17,17,714,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,DIESSE DIAGNOSTICA SENESE SPA,,Italy,17737.78,0.0,USD,0.0,,0.0,,255.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME DIESSE CHORUS DIAGNOSTICA  ORIGIN ITALY TEMPERATURE CONTROL PACKED IN DRYICE1   CHORUS SARSCoV2 IgM PCR TEST KITS LOT NO 81452 MFG,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,18,Pakistan Trade Atlas All 2021 HS 382200.csv,4,769 | 772 | 1083 | 1039 | 1186 | 786 | 900 | 1076 | 779 | 1172 | 1078 | 907 | 1089 | 1176,igm | igm | igm | igm | igm | igm | igm | igm | igm | igm | igm | igm | igm | igm,"{'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'} | {'igm': 4, '': '1ea'}",0.5,378 | 225 | 981 | 341,spa | diagnostica | spa | diagnostica, |  |  | ,0.4444444444444444,779
18,18,719,25-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,39846.16,0.0,USD,0.0,,0.0,,1.0,KG,SARSCoV2 PCR TEST KITS BRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,19,Pakistan Trade Atlas All 2021 HS 382200.csv,5,414 | 1069 | 489 | 588 | 138,"ag,coronavirus | ag,coronavirus | ag,coronavirus | ag,coronavirus | ag,coronavirus","{'ag': 4, 'coronavirus': '1ea'} | {'ag': 4, 'coronavirus': '1ea'} | {'ag': 4, 'coronavirus': '1ea'} | {'ag': 4, 'coronavirus': '1ea'} | {'ag': 4, 'coronavirus': '1ea'}",0.5,609 | 635 | 584,ag | ag | ag, |  | ,0.0,
19,19,721,24-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",NATIONAL TB CONTROL PROGRAM (NTP),"Park Road F Block, Epi Building, Nih 11111 Islamabad Peshawar Pakistan",PK - Pakistan,.,.,.,.,CEPHEID HBDC SAS,,Netherlands,376939.0,0.0,USD,0.0,,0.0,,2500.0,KG,"XPRSARS VOV210 KIT XPRESS,SARSCOV2,10 TEST",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,20,Pakistan Trade Atlas All 2021 HS 382200.csv,0,,,,1.0,759,cepheid,,0.0,
20,20,797,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS CORP,,United States,259600.0,0.0,USD,0.0,,0.0,,50.0,KG,KIT COBAS 68008800 SARSCOV2 480T QTY 50 PCS BATCH NO H25151 MFG DT 18.10.21 EXP DT 30.9.22 EXEMPTION OF SRO 844  1007 I.T SERIAL 12B SERIAL 10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,21,Pakistan Trade Atlas All 2021 HS 382200.csv,2,811,"68008800,cobas","{'68008800,cobas': '1ea'}",2.0,131 | 132 | 133 | 252 | 256 | 643 | 647,"diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche", |  |  |  |  |  | ,2.0,131 | 132 | 133
