NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB
16,SUTRON HYDROMET SYSTEMS PRIVATE LIMITED,"D-193, 2ND FLOOR , OKHLA INDUSTRIALAREA PHASE-1",NEW DELHI,.,.,.,.
17,MATRIX LABORATORIES LTD,Building 4 Trident Place Mosquito Way Hatfield Hertfordshire AL10 9UL,"Hyderabad,Andhra Pradesh",+44 (0)1707 853000,+44 (0)1707 261803,.,www.mylan.com
18,S.P.ANALYTICAL.,"Room No.503, Mıchael Plaza,Plot No.106, Chembur West, Mumbaı.Mukund Ngr,Pl Lokhande Marg, , 400089","Mukund Ngr,Pl Lokhande Marg,",.,.,.,.
19,SYSMEX INDIA PVT. LTD.,"308,Ascot Centre,Sahar Airport Road, Next To Hotel Le Royal Mesridien,, 400099","Andheri[E],Mumbai",022-28224040/4050,.,.,.
20,INSTRUMENTATION LABORATORY INDIA PVT. LTD.,"2Nd Floor,C-60,C-Blo0Ck Community, Centre,Janakpuri,, 110058",New Delhi,01125510137,.,atulgoyal@il-india.com,.
21,BIOGENE INDIA,"C-3, 204, 2ND FLOOR,POOJA HOUSE,KARAMPURA COMMERCIAL COMPLEX,","NEW DELHI ,",.,.,.,.
22,"ALLIED SCIENTIFIC PRODUCTS.,","35, DURGAPURE LANE,",KOLKATA(W.B.),.,.,.,.
23,AGILENT TECHNOLOGIES INDIA PVT LTD,"TRIPATI PLAZA PLOT # 11, SECTOR-XI,2NDFLOOR, DWARKA,",NEW DELHI,.,.,.,.
24,BIOGENUIX MEDSYSTEMS PVT.LTD.,"412-B, 4TH FLOOR, JYOTI SHIKHAR,DISTRICT CENTRE, JANAKPURI,",NEW DELHI,.,.,.,.
25,POCT SERVICES PRIVATE LIMITED,"280/9, Blunt Square , ",Lucknow U.P.,.,.,.,.
26,BIO MERIEUX INDIA PVT.LTD.,"A-32, MOHAN CO-OPERATIVE INDUSTRIALAREA,",NEW DELHI,.,.,.,.
27,SECURE DIAGNOSTICS PRIVATE LIMITED.,"Jr. Mig-50, Shubhalay Block, Gokuld Ham, Gautam Nagar,Pin-462023","IN - Bhopal, Madhya Pradesh",919755477334,.,securediagnosticsindia@gmail.com,.
28,EVERON LIFE SCIENCES,.,India,.,.,.,.
29,"AVANTOR PERFORMANCE MATERIALS INDIA LTD.,","A-3, Okhla Industrıal Area,Phase-I, Okhla, , 110020",New Delhi,.,.,.,.
30,ALPINE BIOMEDICALS PRIVATE LIMITED,.,IN - India,.,.,.,.
31,"VWR LAB PRODUCTS PVT.LTD,","2Nd Floor,Front Wıng,135/12,Brıgade  Towers,Brıgade Road , 560025",Bangalore,.,.,.,.
32,ASPEN LABORATORIES PVT. LTD,"B-164, GUJRANWALA TOWN-I,",DELHI,.,.,.,.
33,MONARCH SCIENTIFIC,"Iv/1/52 1St Floor Above Tata, Indic Om Gopinath Bazar Delhi Cantt,Pin-110010","IN - New Delhi, Delhi",919810290425,.,rk4604538@gmail.com,.
34,BOEHRINGER INGELHEIM INDIA PVT. LTD.,"1102, Hallmark Business Plaza, 11th Floor, Gurunanak Hospital Road, Near Gurunanak Hospital, Bandra (East)",Mumbai,+91-22-71456477,+91-22-71456766,COMMScontact.IN@boehringer-ingelheim.com,www.cyendiv.com
35,LABEX CORPORATION,"FLAT NO-3022,SECTOR-A,POCKET-B&CVASANT KUNJ",NEW DELHI,.,.,.,.
36,NATIONAL INSTITUTE OF PLANT GENOME RESEARCH,.,India,.,.,.,.
37,SERUM INSTITUTE OF INDIA LIMITED,"212/2 Hadapsar, Off:Soli Poonawalla Road, 411028","Pune,Maharashtra",919823136112,.,exim_pg@vsnl.net,.
38,THERMO FISHER SCIENTIFIC INDIA PRIVATE LIMITED,"403-404, B Wing,Delphi, Hiranandani Business Park,Powai, 400072",IN - Mumbai,67162200 / 67162244,.,arvind.sonawane@thermofisher.com,www.corporate.thermofisher.com
39,JEEV DIAGNOSTICS PRIVATE LIMITED,"NO.9, 5TH FLOOR, GOKUL TOWER,  NO.9 & 10, C.P. RAMASAMY ROAD,  ALWARPET, CHENNAI, TAMILNADU.","ALWARPET, CHENNAI, TAMILNADU.",.,.,.,.
40,LABMATE (ASIA) PVT LTD,"Baıd Mehta Complex,C-Block,I Floor,183,Mount Road, , ",Chennai,.,.,.,.
41,BIO RAD LABORATORIES (INDIA) PVT.LTD.,"PLOTNOB&B-1 VANIJYA NIKUNJUDYOG VIHAR,PHASE.V",GURGAON,.,.,.,.
42,MEDOVATION INC,"N0 25,PRAVEEN MANSION,5TH MAIN ROADFLAT N0 10, 2ND FLOOR,","GANDINAGAR, BANGALORE",.,.,.,.
43,MYLAB DISCOVERY SOLUTIONS PRIVATE LIMITED,.,India,.,.,.,.
44,POCT SERVICES,"280/9,KHA BLUNT SQUAREBEHIND POST OFFICE",LUCKNOW UP,.,.,.,.
45,DHR HOLDING INDIA PRIVATE LIMITED,"608-609,6Ht Floor 18 Rattan Jyoti, Building Rajendra Place, 110008",New Delhi,011-42430038,.,.,.
46,"PADMANABHA LABS PRIVATE LIMITED,","48-C, SELVARAJAPURAM,CHINTHAMANIPUDUR(PO),",COIMBATORE/TAMILNADU.,.,.,.,.
47,"AXYGEN SCIENETIFIC PVT. LTD.,","72,The Mall,, , 173212",Solan (Hp),01792-222291,.,genaxy@vsnl.com,.
48,METASYSTEMS INDIA (BANGALORE) PRIVATE LIMITED,"NO.1/1, 2ND FLOOR, 1ST MAIN ROAD, 2ND CROSS, THIMMAIAH GARDEN, R T NAGAR",BANGALORE,.,.,.,.
49,DRAEGER SAFETY INDIA PRIVATE LIMITED,"A-220,   DEFENCE COLONY  ",NEW DELHI,.,.,.,.
50,"KDH BIOMEDICALS PVT LTD.,","601 EXCLUSIVE APARTMENT CO-OP. HSG.OPP. IIT MAIN GATE, POWAI",MUMBAI,.,.,.,.
51,LIFE TECHNOLOGIES (INDIA) PVT.LTD.,"306, AGGARWAL CITY MALL,OPP.M2KPITAMPURA",DELHI,.,.,.,.
52,"WATERS (INDIA) PRIVATE LIMITED,","BI,36-A, 2ND PHASE,PEENYA INDUSTRIAL AREA,","BANGALORE ,KARNATAKA",.,.,.,.
53,ATHENESE-DX PRIVATE LIMITED,"New No.10, Old No.26, Iı Floor  Ist Cross Street, Lake Area, , 600034","Nungamakkam, Chennaı / T.N.",.,.,.,.
54,FUTURIS HEALTHCARE LLP.,"A-2, 35,S.N. Nagar, Yarı Road,  Andherı-West, , ",Mumbai,.,.,.,.
55,PREMAS LIFE SCIENCES PRIVATE LIMITED,.,India,.,.,.,.
56,KRISHGEN BIOSYSTEMS,"135/137,Sonawala Bldg.,2Nd Floor,, Zaveri Bazar,, 400002","Mumbai,Maharashtra.",56372990,23415020,.,.
57,"LUNDBECK INDIA PVT LTD.,","No.Iind Floor,Esteem Regency, No.6/A,Richmond Road,, 560025","Bangalore,Karnataka",2126922/2126933,.,luind@lundbeck.com,.
58,NEUGEN DIAGNOSTICS INDIA PVT. LTD,"VIJAY PLAZA SECOND FLOORC-32,SECOND AVENUE,ANNA NAGAR","CHENNAI, TAMILNADU",.,.,.,.
59,IDEXX LABORATORIES PRIVATE LIMITED,.,IN - India,.,.,.,.
60,DIATEK HEALTHCARE PRIVATE LIMITED,"P- 27,KALINDI HOUSING SCHEME ","KOLKATA, W.B.",.,.,.,.
61,QUINTILES RESEARCH (INDIA) P LTD,"2B,Nıtesh Broadway,9/3,M.G.Road, , 560001",Bangalore,.,.,.,.
62,BIOGENIX INC PRIVATE LIMITED.,.,IN - India,.,.,.,.
63,BLISS GVS PHARMA LTD.,"102,Hyde Park,Sakivihar Road, Andheri(E), 400075",Mumbai,28505387/08503870,.,info@blissgvspharma.com,.
64,PERKIN ELMER (INDIA) PVT. LTD.,"Unit No.3,8Th Floor,B Wing,Trade, Star,Opp.Lotus Suites,J.B.Nagar,, 400059","Andheri,Maharashtra.",9102225334645,91-02225335940,bhaleraosq@labindia.com,.
65,TATA MEMORIAL CENTRE,"Dr.Ernest Borges Road,Parel, , ",Mumbai,.,.,.,.
66,PATHNSITU BIOTECHNOLOGIES PVT LTD,"D.No.3-14-54, Shaılajapurı Colony, Mansoorabad, , 500049",Hyderabad,.,.,.,.
67,SCIENTIFIC PRODUCTS (INDIA) PVT.LTD.,"403 - 404,B Wing,Delphi, Hiranandan Business Park Powai, 400076",Mumbai Maharashtra,022-67162236,.,uday.dixit@thermafisher.com,.
68,ARK DIAGNOSTIC SYSTEM PVT LTD,"A 11, Gırıraj Industrıal Estate, Mahakalı Caves Rd.,Andherı East , ",Mumbai,.,.,.,.
69,BIOLINKK,"1160/8, FIRST FLOOR,NAIWALA, KAROL BAGH,",NEW DELHI,.,.,.,.
70,CEPHEID INDIA PRIVATE LIMITED,"573, 3Rd Floor, Maın Road,  Chıragh Delhı, , 201301",New Delhi,.,.,.,.
71,GENEXPLORE DIAGNOSTICS AND RESEARCH CENTER PVT LTD,"402/4Th Floor, Kush Complex, Naranp Ura Char Rasta, Naranpura, 380013","Ahmedabad, Gujarat",919824999084,.,info@genexplore.co.in,www.genexplore.co.in
72,LILAC MEDICARE PVT. LTD.,"303/8, SUNGOLD STER-E-PUNJAB ,MAHAKALI CAVES ROAD,","ANDHERI EAST, MUMBAI ,MAHARASHTRA",.,.,.,.
73,ROSALINA INSTRUMENTS,"B-16,SHIVAJI NAGAR,S.L.MARG,SEWRI","MUMBAI ,MAHARASHTRA",.,.,.,.
74,ACCUREX BIOMEDICAL PVT. LTD.,"212,Udyog Mandir No.1,7/C,, Bhagoji Keer Marg,Mahim,, 400016","Mumbai,Maharashtra",4468111/4449103/4442,4450176,accurex@vsnl.com,.
75,ANUH PHARMA LTD.,"3-A,Shiv Sagar Estate,North Wing,, Dr.Annie Besant Road,Worli,, 400018","Bombay,Maharashtra",3648882,.,anuh@skageexports.com,.
76,IMMUCOR INDIA PRIVATE LIMITED,"A-49(FIEE), OKHLA INDUSRIAL AREA  PHASE-II",NEW DELHI,.,.,.,.
77,LABINDIA INSTRUMENTS PVT. LTD.,"201 Nand Chambers, Near Vandana Cinema,L B S Marg,, 400602","Panc,Thane,,Maharashtra",5335389/5335940,.,karandikaraa@labindia.com,.
78,P. R. CORPORATION.,"6, ANNAPURNA MANDIR,489, ADENWALA RD., MATUNGA C.R.,","MUMBAI, MAHARASHTRA",.,.,.,.
79,EBIOTECH INC,"Flat No-3 Kıng Apt Plot  No 150 Devlı , ",New Delhi,.,.,.,.
80,TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE,.,India,.,.,.,.
81,BI BIOTECH INDIA PRIVATE LIMITED,"B. 29/10 , NANDIGRAMLANKA",VARANASI,.,.,.,.
82,HEMOGENOMICS PVT LTD,"KEMWELL HOUSENO.11,TUMKUR ROAD, YESHWANTHPUR",BANGALORE / KARNATAKA,.,.,.,.
83,SKYTECH SYSTEMS (INDIA) PVT.LTD.,"106 & 108 HAMILTON B WING,HIRANANDANI BUSINESS PARK,OFF.","GHODBUNDER RD,THANE-W,MAHARASHTRA",.,.,.,.
84,TRIDENT EQUIPMENTS PVT.LTD.,"F-409/410,Kailash Indl Complex,, Park Site,Vikhroli-West, 400079","Mumbai,Maharashtra",022 25181706/5463,.,triequip@vsnl.com,.
85,TULIP DIAGNOSTICS(P)LTD.,"Gitanjali,Tulip Block,Alto, Santacruz,Dr.Antonio Do Rego Bagh, 403202",Goa India.,2458546,.,tulipvrn@sancharnet.in,.
86,ORION SCIENTIFIC SUPPLIERS PVT.LTD,"219,Veena Ind Estate,Lbs Marg, Vikhroli(W), 400083","Mumbai,Maharashtra",25785505-25792804,.,orionsci@vsnl.net,.
87,HUMOLE DIAGNOSTICS PRIVATE LIMITED,.,IN - India,.,.,.,.
88,DEEKSHA ANALYTICAL PRIVATE LIMITED.,.,IN - India,.,.,.,.
89,NUCLEUS DIAGNOSYS LLP.,.,IN - India,.,.,.,.
90,BECKMAN COULTER INDIA PVT. LTD.,"Soiltaire Corporate Park,3Rd Floor,, Bldg 11,Andheri Ghatkopar Link Road, 400093","Chakala,Andheri[E]Mumbai.",5668 7019/5668 7018,.,schandrashekar@beckman.com,.
91,CHEMICAL CENTRE.,"Bhavani Bhuvan,18/20,, Popatwadi,Kalbadevi,, 400002","Mumbai,Maharashtra",22031616,22084559,ccmumbai@hotmail.com,.
92,COMPACT DIAGNOSTICS INDIA PVT LTD,"WZ-12B, ASALAT PUR,JANAK PURI,","NEW DELHI ,",.,.,.,.
93,"EVEREST INSTRUMENTS PVT. LTD.,","Nr. Chandan Park, Statıon Road, , 384315",Vısnagar   North Gujarat,.,.,.,.
94,TTP TECHNOLOGIES PRIVATE LIMITED,"No.486/D,13Th Cross,4Th Phase,, Peenya Industrial Area,, 560058",Bangalore/Karnataka,+91 80 8394304,.,ttpoompp@blr.vsnl.net.in,.
95,MEDGENOME LABS PRIVATE LIMITED,"No.55, 1St Floor, 1St Kamaraj Avenue, Kasthurbaı Nagar, Adyar , ",Chennai,.,.,.,.
96,KAMDHENU ANALYTICS AND LIFESCIENCES,.,IN - India,.,.,.,.
97,AGAPPE DIAGNOSTICS LIMITED,"212/213, VORA PLAZA, B-WING,NAVGHAR, VASAI (EAST)","DIST. THANE, MAHARASHTRA",.,.,.,.
98,APPLIED BIOSCIENCE CONSULTANTS & DISTRIBUTORS,"A-603, GULAB JALVAYU VIHAR,PLOT NO.20,SECTOR-20,KHARGHAR,","NAVI MUMBAI, MAHARASHTRA.",.,.,.,.
99,BIOCHEM LIFE SCIENCES,"30/4-A, DOUBLE STOREYS 3RD FLOOR,ASHOK NAGAR NEAR TILAK NAGAR MATRO",STATION NEW DELHI,.,.,.,.
100,BIOIMAGING REQUISITES,"N0. 1461, 23RD MAIN ROAD,BANASHANKARI II STAGE,",BANGALORE,.,.,.,.
101,OPTIMUS DRUGS PRIVATE LIMITED,"PLOT NO.131,3RD FLOOR,NARMADAARCADE,SNEHAPURI COLONY,NACHARAM,",HYDERABAD. AP,.,.,.,.
102,RAPID DIAGNOSTIC PVT.LTD.,"B-159, Gujranwala Town-I, 110009",Delhi,.,.,.,.
103,SAI ADVANTIUM PHARMA LIMITED,"Luxor Parkno.No.8-2-120/86/9/B, Opp, L.V.Prasad Eye Institute,Rd.No.2, 500033",Banjara Hills Hyderabad,040-66777555/6657783,.,srinivasa.r@saiadvantium.com,.
104,JAY SCIENTIFIC COMAPANY,"Heena Smruti,N.S.Road No.2,, J.V.P.D.Scheme,Vile Parle (W) Mumb, 400056",Maharashtra,2010146,.,.,.
105,EDIF MEDICAL SYSTEMS,"E-77/1, 2ND FLOOR ABUL FAZAL ENCLAVE, JANIA NAGAR OKHLA, NEW DELHI ","OKHLA, NEW DELHI",.,.,.,.
106,KINEDEX BIOMEDICALS PRIVATE LIMITED,"Offıce No. B-406 & 407, Mahaavır  Icon, Plot No. 89, Sector-15, Cbd , 400072","Belapur, Navı Mumbaı, Maharashtra",.,.,.,.
107,BHARATI CHEMICAL AND SCIENTIFIC WORKS.,"3A, Surendra Mohan Ghosh Saranı  (Mango Lane )Ground Floor. , ",Kolkata,.,.,.,.
108,HELINI BIOMOLECULES,"Ohmlına, P.No.26, 2Nd Avenue, Kutbıcomplex, Vettuvankenı, Injambakkam, , 600041","Chennaı,Taml Nadu.",.,.,.,.
109,"AURIGENE DISCOVERY TECHNOLOGIES LTD,","NO.10/1, THIRD MAIN, 2ND FLOOR,HANUMANTHANAGAR,","BANGALORE, KARNATAKA",.,.,.,.
110,"BIOCON LIMITED,","20TH K M, HOSUR ROAD,ELECTRONIC CITY P.O,",BANGALORE,.,.,.,.
111,DIAGNOSTIC BIOSYSTEMS (INDIA ),"306, Guru Ram Dass Bhawan  Ranjıt Nagar, Comm. Complex , 110008",New Delhi,.,.,.,.
112,HORIBA INDIA PVT.LTD.,"Plot No.246,Okhla Industial Estate, Phase-Iii.,, 110020",New Delhi,91-11-46695001/5002,.,.,.
113,RANDOX LABORATORIES INDIA PRIVATE LIMITED,"3Rd Flr.,Godrej Colıseum,Somaıyahospıtal Road, Off Eastern Express , 400022","Hıghway,Sıon E,Mumbaı, Maharashtra",.,.,.,.
114,TRIVITRON HEALTHCARE PRIVATE LIMITED,"No.15,4Th Street,Abhıramapuram, , 600018",Chennai,.,.,.,.
115,ADT INDIA PVT LTD.,F 16 B MIG DDA FLATS HARI NAGAR,DELHI,.,.,.,.
116,NATIONAL INSTITUTE OF MENTAL HEALTH &,"NEURO-SCIENCES, POST BAG NO.2900",BANGALORE,.,.,.,.
117,MEDICAL ELECTRONIC SYSTEMS (INDIA) PRIVATE LIMITED,"Plot No. 2797, New No. 2, Y Block,  6Th St, 12Th Maın Road, Annanagar , ",Chennai,.,.,.,.
118,ACCUTEST RESEARCH LABORATORIES (I) PVT. LTD.,"A-31,Midc,Ttc,Industrial Area,, Khairane,, 400709","Navi Mumbai,Maharashtra.",7631718,7631721,accutest@vsnl.in,.
119,ANTON PAAR INDIA (P) LTD.,"3269, Ranjıt Nagar , 110008",New Delhi,.,.,.,.
120,C.ABHAYKUMAR & CO.,"127,S.Gandhi Marg,, Princess Street,Gopal Nivas, 400002","Mumbai,Maharashtra",22083697/22004479,22085189,caco2@hathway.com,.
121,INDIAN IMMUNOLOGICALS LTD.,"Road.No.44,Jubilee Hills, , 500033",Hyderabad,"3544585,3544593",.,raksha@hd1.vsnl.net.in,.
122,INTAS PHARMACEUTICALS LTD.,"Corporate House, Near Sola Bridge, S. G. Highway, Thaltej, Ahmedabad – 380054. Gujarat.",India,+91 79 6157 7000,.,generalqueries@intaspharma.com,www.intaspharma.com
123,MOUNT BIOSCIENCES,"31B, ESWARIPURI COLONY,  SAINIKPURI,",SECUNDERABAD. AP.,.,.,.,.
124,NATIONAL INSTITUTE OF IMMUNOLOGY,"JNU COMPLEX,ARUNA ASAF ALI MARG",NEW DELHI,.,.,.,.
125,NEKTAR THERAPEUTICS(INDIA)PVT LTD.,"1-10-20/2B, POOJA EDIFLICE 4TH FLOOCHICKOTI GARDENS",BEGUMPET.HYDERABAD.AP,.,.,.,.
126,"NOVARTIS HEALTHCARE (PVT) LTD.,",.,"Thane,Maharashtra",.,.,.,www.novartis.in
127,P D HINDUJA NATIONAL HOSPITAL&MEDICAL RESEARCH CEN,"Medical Research Centre, 89F Veer Savarkar Marg*Mahim, 400016","Bombay,Maharashtra",4451515/4449199ext32,4449151,joecurian@hindujahospital.com,.
128,PERKINELMER HEALTH SCIENCES PVT LTD,"OLD NO.92, NEW NO.197,DR. NATESAN ROAD, MYLAPORE,","CHENNAI, TAMIL NADU.",.,.,.,.
129,TOSHVIN ANALYTICAL PVT. LTD.,"103,S.J.House,Sıtaram Mıllscompound,N.M.Joshı Marg,Lower Parel , 400011",Mumbai,.,.,.,.
130,GEO CHEM LABORATORIES PVT LTD,"Geo Chem House, 294 Shahıdbhagatsıngh Road, Fort, , 400001",Mumbai,.,.,.,.
131,GENOCARE INDIA,.,India,.,.,.,.
132,INTERNATIONAL CENTRE FOR GENETIC ENGINEERING & BIO,.,India,.,.,.,.
133,ARANAX MEDICAL PRIVATE LIMITED.,.,IN - India,.,.,.,.
134,BIOCON BIOLOGICS INDIA LIMITED.,.,IN - India,.,.,.,.
135,CENTRE FOR DNA FINGERPRINTING & DIAGNOSTIC DIRECTO,.,IN - India,.,.,.,.
136,ANAND BROTHERS.,"PLOTNO.-5, LOCAL SHOPPING CENTREBEHIND MILAN CINEMA KARAMPURA",NEW DELHI,.,.,.,.
137,ARKRAY HEALTHCARE PVT.LTD.,"3Rd Floor,Nicholas Piramal Towers,, Ganpatrao Kadam Marg,Lower Parel,, 400013","Mumbai,Maharashtra",022-30466666/,.,georgevarghese@nicholaspiramal.co.in,.
138,ARTEC DIAGNOSTIC SYSTEM,"C-13,FIRST FLOOR,BIG SPLASH,SECTOR-17,VASHI,","NAVI MUMBAI, MAHARASHTRA",.,.,.,.
139,ATNT LABORATORIES,"309,D.S.Trade Centre,, Vidyavihar(W), 400086","Mumbai,Maharashtra.",9869236574,.,atnt@vsnl.net,.
140,I R TECHNOLOGY SERVICES PRIVATE LTD,"B-8 Commerce Centre, 78 Tardeo Road, 400034","Mumbai,Maharashtra",4951176/4951085,4950584,irttech-b0m@vsnl.com,.
141,KLINERA CORPORATION INDIA,401 HILL VIEW INDUSTRIAL ESTATE  L.B.S MARG GHATKOPAR WEST  MUMBAI MAHARASHTRA,MUMBAI MAHARASHTRA,.,.,.,.
142,INDIAN INSTITUTE OF SCIENCE EDU.& RESEARCH MOHALI,"Mgsipa Complex,Sector 26,, , ",Chandigarh.,.,.,.,.
143,GENUS BREEDING INDIA PVT. LTD.,"ROW HOUSE NO.4, PRIYANKA PARK, S.NO 87, PLOT NO.207, VILLA NO.1, BANER",PUNE/MAH.,.,.,.,.
144,ASRITHA DIATECH INDIA PVT LTD,"H NO.5-5-35/206, 1ST FLOOR, PRASANTH NAGAR (IE), KUKATPALLY,","HYDERABAD, TELANGANA.",.,.,.,.
145,FEBRIS LIFESCIENCES,"PLOT NO.85, 2NF DLOOR, SHOP NO.1, PRASANTH NAGAR, KUKATPALLY,","HYDERABAD, AP.",.,.,.,.
146,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii,, , 122001",Gurgaon,0124-4540907,.,allen@sdbiosensor.com,.
147,NATIONAL INSTITUTE FOR RESEARCH IN REPRODUCTIVE HE,.,India,.,.,.,.
148,NIPRO MEDICAL (INDIA) PVT.LTD.,"1St Floor, Yesde House,New No.167,  Old No.131,1St Flr,Valluvar Kottam , 600034","Hıgh Rd.Nungambakkam,Chennaı",.,.,.,.
149,"SRS MEDICAL DEVICES,","103, Malwa Santoor Apartment,  Scheme No.54, Vıjay Nagar, Indore , ",(Madhya Pradesh),.,.,.,.
150,BIODX HEALTHCARE,.,IN - India,.,.,.,.
151,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,.,IN - India,.,.,.,.
152,ONNSYNEX VENTURES PRIVATE LIMITED,.,IN - India,.,.,.,.
153,BHARAT SERUMS & VACCINES LTD,"Plot No.A-371/372,Road No.27,, Wagle Industrial Estate,, 400604",Thane,022 22886881/2,022 22306744,sales@bharatserums.com,.
154,BIOGENY DIAGNOSTICS PRIVATE LTD.,"88-89,Pratiksha Society,Opp:, Vidhyakunj School, 396445",Navsari/Gujarat,94271-12837,.,dkjoshi@beaconindia.com,.
155,"CRYSTAL BIO EQUIPMENT,","NO.20, 1ST CROSS, SAMPIGE ROAD,MALLESWARAM,",BANGALORE,.,.,.,.
156,DSS IMAGETECH PVT. LTD.,"A-5, MOHAN CO-OPERATIVE INDL.ESTATEMATHURA ROAD,",NEW DELHI,.,.,.,.
157,"ENDRESS + HAUSER (INDIA) PVT. LTD.,","5Th Floor, Raj Plaza, A & B Wıng,L. B. S. Marg, Vıkhrolı (West), , 400083",Mumbai,.,.,.,.
158,GE BE PVT. LIMITED,"NO 60 EPIP, WHITEFIELD",BANGALORE,.,.,.,.
159,INSTITUTE FOR STEMCELL BIOLOGY  &,"Regeneratıve Medıcıne, ,   Gkvk Post,Bellary Road,   Bangalore   , 560065",Bangalore,.,.,.,.
160,KUEHNE + NAGEL PVT.LTD.,"91, BIJWASAN ROAD,KAPASHERA",NEW DELHI,.,.,.,.
161,LIFECELL INTERNATIONAL PRIVATE LTD.,"26, VANDALUR-KELAMBAKKAM MAIN RD.KEELAKOTTAIYUR","CHENNAI, TAMILNADU",.,.,.,.
162,LUPIN LIMITED,"B/4 Laxmi Towers, Bandra Kurla Complex, Bandra (E), Mumbai 400 051",India,+91 22 6640 2222,+91 22 6640 2130,info@lupin.com,www.lupin.com
163,PAMMVI EXPORTS PVT. LTD.,"C-501/B-504,REMI BIZCOURT,PLOT NO.9SHAH INDL. ESTATE,VEERA DESAI RD,","ANDHERI WEST, MUMBAI",.,.,.,.
164,PPD PHARMACEUTICAL DEVELOPMENT (I) PVT. LTD.,"01-DYNASTY B-WING (KANAKIA SPACES)ANDHERI KURLA RD.ANDHERI (EAST),","MUMBAI,MAHARASHTRA",.,.,.,.
165,SHILPA MEDICARE LTD.,"Plot No.10,Shop No.80,, Rajendra Gunj,, 584102","Raichur,Karnataka",35006/35876,.,vbshilpa@blr.vsnl.net.in,.
166,SOWAR (P) LTD.,"OFFICE UNIT 1-3,1ST FLOOR,CSCPOCKET-9,SECTOR-C,VASANT KUNJ",NEW DELHI,.,.,.,.
167,STERIMED INC.,"6/1048,Peringannur.P.O., Peringode, 679535","Palakkad,Kerala",04662209316,2258278,sales@sterimedgroup.com,.
168,TATA INSTITUTE OF FUNDAMENTAL RESEARCH,"Homi Bhabha Road,, Colaba, 400005",Mumbai,022-22804545/2278231,.,psmurthy@tifr.res.in,.
