,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Ratio,Top P Match UIDs,Matching P Tags,Top M Match Ratio,Top M Match UIDs,Matching M Tags
10,568,569,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,118.24,0.0,USD,0.0,,0.0,,4.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 4 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,569,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,995 | 269 | 256 | 777,s | 4 | elecsys | elecsys,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
11,666,667,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,198.09,0.0,USD,0.0,,0.0,,1.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 1 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22 EXEMPTION OF SRO 844 1007 AND 12B SERIAL  10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,667,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"132,133 | 131",cobas | cobas,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
12,669,670,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PHARMAKON INTERNATIONAL ENTERPRISES.,Rawalpindi,PK - Pakistan,.,.,.,.,GENEREACH BIOTECHNOLOGY CORPORATION,,Taiwan,13704.0,0.0,USD,0.0,,0.0,,7.6,KG,SARSCOV2 DIAGNOSTIC KITS FOR DETECTION OF CORONA VIRUS DETAIL IS AS UNDER POCKIT CENTRAL SARS COV2 PPRMIX PCR REAGENT   24 TEST KIT  LOT NO . 1213112  EXP 2722023  BRAN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,670,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,653,"virus,diagnostic,detection",0.5,"405 | 657 | 674,675",international | international | international
13,711,712,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IDS IMMUNODIAGNOSTIC SYSTEMS LTD,,United Kingdom,47350.26,0.0,USD,0.0,,0.0,,340.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME IDS IMMUNODIAGNOSTIC  ORIGIN UNITED KINGDOM TEMPERATURE CONTROL PACKED IN DRYICE1   IDS TGS SARSCOV2 PCR TEST LOT 56605 MFG DATE 2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,712,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,952 | 1035 | 1442,pcr | pcr | pcr,0.5,550 | 319,scientific | scientific
14,713,714,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,DIESSE DIAGNOSTICA SENESE SPA,,Italy,17737.78,0.0,USD,0.0,,0.0,,255.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME DIESSE CHORUS DIAGNOSTICA  ORIGIN ITALY TEMPERATURE CONTROL PACKED IN DRYICE1   CHORUS SARSCoV2 IgM PCR TEST KITS LOT NO 81452 MFG,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,714,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1076,igm,0.5,550 | 319,scientific | scientific
15,718,719,25-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,39846.16,0.0,USD,0.0,,0.0,,1.0,KG,SARSCoV2 PCR TEST KITS BRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,719,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,160 | 1336 | 152,ag | rt | ag,0.5,550 | 319,scientific | scientific
16,720,721,24-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",NATIONAL TB CONTROL PROGRAM (NTP),"Park Road F Block, Epi Building, Nih 11111 Islamabad Peshawar Pakistan",PK - Pakistan,.,.,.,.,CEPHEID HBDC SAS,,Netherlands,376939.0,0.0,USD,0.0,,0.0,,2500.0,KG,"XPRSARS VOV210 KIT XPRESS,SARSCOV2,10 TEST",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,721,Pakistan Trade Atlas All 2021 HS 382200.csv,0.3333333333333333,1116,kit,0.06666666666666667,776,national
17,796,797,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS CORP,,United States,259600.0,0.0,USD,0.0,,0.0,,50.0,KG,KIT COBAS 68008800 SARSCOV2 480T QTY 50 PCS BATCH NO H25151 MFG DT 18.10.21 EXP DT 30.9.22 EXEMPTION OF SRO 844  1007 I.T SERIAL 12B SERIAL 10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,797,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"132,133 | 131",cobas | cobas,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
18,817,818,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBEL MARKETING SERVICES.,111 Hali Road Westridge I 45000 Rawalpindi Cannt Pakistan,PK - Pakistan,.,.,.,.,VI SOLE FZC,,France,39999.99,0.0,USD,0.0,,0.0,,68.0,KG,SARS COV2 KITS XPERT XPRESS SARSCOV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,818,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"759,922 | 1297 | 1298","xpress,xpert | xpress,xpert | xpress,xpert",0.0,,
19,931,932,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHEMICAL HOUSE.,Lahore,PK - Pakistan,.,.,.,.,BIO RAD ABD SEROTE LTD,,United States,1778.98,0.0,USD,0.0,,0.0,,1.0,KG,Diagnostic Reagent SARS CoV2 Corinavirus Elisa Test Kits,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,932,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,"1200 | 609 | 1210,1211 | 1338 | 1347 | 1202 | 1238 | 1372 | 1212 | 1399","elisa | elisa | cov2,elisa | diagnostic | cov2 | elisa | cov2 | cov2 | elisa | reagent",0.5,385,chemical
20,958,959,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,720500.0,0.0,USD,0.0,,0.0,,1100.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V7 500RXNBOX QTY 1100 KIT,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,959,Pakistan Trade Atlas All 2021 HS 382200.csv,0.75,1326 | 1327 | 461,"coronavirus,detection,novel | coronavirus,detection,novel | coronavirus,detection,novel",0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
21,996,997,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PROMED SOLUTIONS PVT LTD,.,PK - Pakistan,.,.,.,.,COMECER S.P.A,,Italy,200.0,0.0,USD,0.0,,0.0,,200.0,KG,KIT CLIO Disposable Kit for  CLIO X BTUSARE LOTTO FC00768  FOR MEDICAL USE SAMPLE SHIPMENT DV ALREADY HIGH,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,997,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,229,x,0.6666666666666666,1348,"solutions,pvt"
22,1036,1037,21-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",SHAWN ENTERPRIES,Address: Shop No 93 Mz Land Mark Plaza Gulberg Gulberg Town Lahore,PK - Pakistan,.,.,.,.,FOREGENE CO LTD,,China,450.0,0.0,USD,0.0,,0.0,,45.0,KG,1.SARSCOVID2 NUCLEIC ACID DETECTION PCR KIT MULTIPLEX FLUORESCENT PROBE METHOD REF NOSC01012 LOT NO211101 MFG DATE18112021 EXP DATE17112022 96 TEST PER KIT ORIGIN CHINA,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,1037,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"1314 | 952 | 1009 | 1035 | 629,630,631 | 1442 | 144 | 207,208 | 1032 | 1012 | 1014","96 | pcr,fluorescent | fluorescent | pcr,fluorescent | fluorescent | pcr,fluorescent | acid,nucleic | acid,nucleic | method,acid,fluorescent,detection,nucleic,probe | method,acid,fluorescent,detection,nucleic,probe | method,acid,fluorescent,detection,nucleic,probe",0.0,,
23,1050,1051,21-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",AL QAZI MARKETING GROUP,.,PK - Pakistan,.,.,.,.,ZHEJIANG ORIENT GENE BIOTECH C,,China,435.0,0.0,USD,0.0,,0.0,,40.0,KG,SARSPCR KITS DETAIL AS UNDER 01. SARSCOV2 PCR DETECTION KIT  DIRECT FLUORESCENCE PCR   REF NO ACOV01   LOT NO AG211204   MFG 20211212   EXPIRY   20221211   ORIGIN CHIN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,1051,Pakistan Trade Atlas All 2021 HS 382200.csv,0.6666666666666666,1284 | 1109 | 702,"direct,detection | detection,fluorescence | direct,detection",0.5,620,group
24,1090,1091,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,126.1,0.0,USD,0.0,,0.0,,2.0,KG,ALNTY  SARSCOV2    IGM   CONTROL   OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,1091,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1076,igm,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
25,1130,1131,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,40.4,0.0,USD,0.0,,0.0,,1.0,KG,ALINITY SARSCOV2  IGG  CALIBRATOR  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,1131,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1075,igg,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
26,1172,1173,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,2527.0,0.0,USD,0.0,,0.0,,50.0,KG,ARC SARSC0V2   IGM  100T  OUSECLIA KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,1173,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1076,igm,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
27,1187,1188,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,26235.56,0.0,USD,0.0,,0.0,,52.0,KG,ALINITY SARSCOV2  IGG   200T  OUS ECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,1188,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1075,igg,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
28,1212,1213,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,189.03,0.0,USD,0.0,,0.0,,3.0,KG,ARC SARSCOVID2   CONTROL  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,1213,Pakistan Trade Atlas All 2021 HS 382200.csv,0.25,1251,control,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
29,1234,1235,20-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,"ROCHE DIAGNOSTICS GMBH, DOSLF",,Germany,29.56,0.0,USD,0.0,,0.0,,1.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 1 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,1235,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,995 | 256 | 777,s | elecsys | elecsys,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
