,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Matching P Tags,Top P Score Reports,Matching M Tags,Top M Score Reports,Top P Match Score,Top M Match Score,Top Agg Match (P&M),Top P Match UIDs,Top M Match UIDs,Top Agg Match UIDs
11,270,271,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,BOLLORE LOGISTICS USA INC,,United States,87026.1,0.0,USD,0.0,,0.0,,210.0,KG,DIAGNOSTIC TEST KITID NOW COVID19 24T OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,271,Pakistan Trade Atlas All 2021 HS 382200.csv,now | diagnostic,{'now': '1ea'} | {'diagnostic': '1ea'},usa | usa,{'usa': '1ea'} | {'usa': '1ea'},0.5,0.5,1.0666666666666667,330 | 1338,1214 | 127,240
12,467,468,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,990.45,0.0,USD,0.0,,0.0,,5.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 5 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,468,Pakistan Trade Atlas All 2021 HS 382200.csv,5 | cobas | cobas | cobas,{'5': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche","{'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'} | {'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'} | {'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'}",0.5,25.0,43.0,270 | 131 | 132 | 133,893 | 911 | 914,131 | 132 | 133
13,568,569,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,118.24,0.0,USD,0.0,,0.0,,4.0,KG,ANTISARSCOV2 S CS ELECSYS QTY 4 PCS BATCH NO 57235501 MFG DT 15.9.21 EXP DT 30.4.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,569,Pakistan Trade Atlas All 2021 HS 382200.csv,elecsys | elecsys,{'elecsys': 20} | {'elecsys': 20},"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche","{'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'} | {'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'} | {'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'}",10.0,25.0,63.333333333333336,256 | 777,893 | 911 | 914,893 | 911
14,666,667,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,198.09,0.0,USD,0.0,,0.0,,1.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 1 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22 EXEMPTION OF SRO 844 1007 AND 12B SERIAL  10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,667,Pakistan Trade Atlas All 2021 HS 382200.csv,10 | cobas | cobas | cobas,{'10': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},"diagnostics,gmbh,roche | diagnostics,gmbh,roche | diagnostics,gmbh,roche","{'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'} | {'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'} | {'roche': 20, 'gmbh': 4, 'diagnostics': '1ea'}",0.5,25.0,43.0,1273 | 131 | 132 | 133,893 | 911 | 914,131 | 132 | 133
15,669,670,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PHARMAKON INTERNATIONAL ENTERPRISES.,Rawalpindi,PK - Pakistan,.,.,.,.,GENEREACH BIOTECHNOLOGY CORPORATION,,Taiwan,13704.0,0.0,USD,0.0,,0.0,,7.6,KG,SARSCOV2 DIAGNOSTIC KITS FOR DETECTION OF CORONA VIRUS DETAIL IS AS UNDER POCKIT CENTRAL SARS COV2 PPRMIX PCR REAGENT   24 TEST KIT  LOT NO . 1213112  EXP 2722023  BRAN,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,670,Pakistan Trade Atlas All 2021 HS 382200.csv,"detection,virus,diagnostic","{'detection': 1, 'virus,diagnostic': '1ea'}","biotechnology,corporation,genereach","{'genereach': 20, 'biotechnology,corporation': '1ea'}",3.0,4.4,4.4,653,1316,1316
16,711,712,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IDS IMMUNODIAGNOSTIC SYSTEMS LTD,,United Kingdom,47350.26,0.0,USD,0.0,,0.0,,340.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME IDS IMMUNODIAGNOSTIC  ORIGIN UNITED KINGDOM TEMPERATURE CONTROL PACKED IN DRYICE1   IDS TGS SARSCOV2 PCR TEST LOT 56605 MFG DATE 2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,712,Pakistan Trade Atlas All 2021 HS 382200.csv,pcr | pcr | pcr,{'pcr': '1ea'} | {'pcr': '1ea'} | {'pcr': '1ea'},systems | systems | systems | systems | systems | systems | systems,{'systems': '1ea'} | {'systems': '1ea'} | {'systems': '1ea'} | {'systems': '1ea'} | {'systems': '1ea'} | {'systems': '1ea'} | {'systems': '1ea'},0.5,0.3333333333333333,0.5,952 | 1035 | 1442,1007 | 913 | 973 | 474 | 972 | 809 | 811,952 | 1035 | 1442
17,713,714,26-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,DIESSE DIAGNOSTICA SENESE SPA,,Italy,17737.78,0.0,USD,0.0,,0.0,,255.0,KG,SARSCoV2 PCR TEST KITS BRAND NAME DIESSE CHORUS DIAGNOSTICA  ORIGIN ITALY TEMPERATURE CONTROL PACKED IN DRYICE1   CHORUS SARSCoV2 IgM PCR TEST KITS LOT NO 81452 MFG,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,714,Pakistan Trade Atlas All 2021 HS 382200.csv,igm,{'igm': 4},diagnostica | diagnostica,{'diagnostica': 4} | {'diagnostica': 4},4.0,2.0,4.222222222222222,1076,225 | 341,779
18,718,719,25-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,39846.16,0.0,USD,0.0,,0.0,,1.0,KG,SARSCoV2 PCR TEST KITS BRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,719,Pakistan Trade Atlas All 2021 HS 382200.csv,ag | ag,{'ag': 4} | {'ag': 4},ag | ag | ag,{'ag': '1ea'} | {'ag': '1ea'} | {'ag': '1ea'},4.0,0.5,4.0,160 | 152,609 | 635 | 584,160 | 152
19,720,721,24-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",NATIONAL TB CONTROL PROGRAM (NTP),"Park Road F Block, Epi Building, Nih 11111 Islamabad Peshawar Pakistan",PK - Pakistan,.,.,.,.,CEPHEID HBDC SAS,,Netherlands,376939.0,0.0,USD,0.0,,0.0,,2500.0,KG,"XPRSARS VOV210 KIT XPRESS,SARSCOV2,10 TEST",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,721,Pakistan Trade Atlas All 2021 HS 382200.csv,,,cepheid,{'cepheid': 20},0.0,20.0,20.0,,759,759
20,796,797,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS CORP,,United States,259600.0,0.0,USD,0.0,,0.0,,50.0,KG,KIT COBAS 68008800 SARSCOV2 480T QTY 50 PCS BATCH NO H25151 MFG DT 18.10.21 EXP DT 30.9.22 EXEMPTION OF SRO 844  1007 I.T SERIAL 12B SERIAL 10,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,797,Pakistan Trade Atlas All 2021 HS 382200.csv,10 | cobas | cobas | cobas,{'10': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'} | {'cobas': '1ea'},"diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche","{'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'}",0.5,21.0,43.0,1273 | 131 | 132 | 133,131 | 132 | 133 | 252 | 256 | 643 | 647,131 | 132 | 133
21,817,818,23-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBEL MARKETING SERVICES.,111 Hali Road Westridge I 45000 Rawalpindi Cannt Pakistan,PK - Pakistan,.,.,.,.,VI SOLE FZC,,France,39999.99,0.0,USD,0.0,,0.0,,68.0,KG,SARS COV2 KITS XPERT XPRESS SARSCOV2,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,818,Pakistan Trade Atlas All 2021 HS 382200.csv,"xpert,xpress | xpert,xpress | xpert,xpress","{'xpert,xpress': '1ea'} | {'xpert,xpress': '1ea'} | {'xpert,xpress': '1ea'}",,,2.0,0.0,2.0,759 | 1297 | 1298,,759 | 1297 | 1298
22,931,932,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHEMICAL HOUSE.,Lahore,PK - Pakistan,.,.,.,.,BIO RAD ABD SEROTE LTD,,United States,1778.98,0.0,USD,0.0,,0.0,,1.0,KG,Diagnostic Reagent SARS CoV2 Corinavirus Elisa Test Kits,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,932,Pakistan Trade Atlas All 2021 HS 382200.csv,elisa | elisa | elisa | elisa,{'elisa': 20} | {'elisa': 20} | {'elisa': 20} | {'elisa': 20},bio | bio | bio | bio | bio | bio | bio | bio | bio | bio | bio | bio | bio,{'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'} | {'bio': '1ea'},10.0,0.5,10.0,1200 | 609 | 1202 | 1212,544 | 62 | 108 | 109 | 368 | 367 | 366 | 369 | 419 | 352 | 702 | 214 | 110,1200 | 609 | 1202 | 1212
23,958,959,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,720500.0,0.0,USD,0.0,,0.0,,1100.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V7 500RXNBOX QTY 1100 KIT,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,959,Pakistan Trade Atlas All 2021 HS 382200.csv,"detection,coronavirus,novel | detection,novel,coronavirus | detection,novel,coronavirus","{'detection': 1, 'coronavirus,novel': '1ea'} | {'detection': 1, 'novel,coronavirus': '1ea'} | {'detection': 1, 'novel,coronavirus': '1ea'}",,,1.5,0.0,1.5,1326 | 1327 | 461,,1326 | 1327 | 461
24,996,997,22-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",PROMED SOLUTIONS PVT LTD,.,PK - Pakistan,.,.,.,.,COMECER S.P.A,,Italy,200.0,0.0,USD,0.0,,0.0,,200.0,KG,KIT CLIO Disposable Kit for  CLIO X BTUSARE LOTTO FC00768  FOR MEDICAL USE SAMPLE SHIPMENT DV ALREADY HIGH,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,997,Pakistan Trade Atlas All 2021 HS 382200.csv,x,{'x': '1ea'},spa | spa,{'spa': '1ea'} | {'spa': '1ea'},0.5,0.5,0.5,229,378 | 981,378 | 981 | 229
